Commodity,Climate change EQ LT (PDF.m2.yr),Climate change EQ ST (PDF.m2.yr),Fisheries impact (PDF.m2.yr),Freshwater acidification (PDF.m2.yr),Freshwater ecotoxicity LT (PDF.m2.yr),Freshwater ecotoxicity ST (PDF.m2.yr),Freshwater eutrophication (PDF.m2.yr),Ionizing radiations EQ (PDF.m2.yr),Land occupation biodiversity (PDF.m2.yr),Land transformation biodiversity (PDF.m2.yr),Marine acidification LT (PDF.m2.yr),Marine acidification ST (PDF.m2.yr),Marine ecotoxicity LT (PDF.m2.yr),Marine ecotoxicity ST (PDF.m2.yr),Marine eutrophication (PDF.m2.yr),Photochemical ozone EQ (PDF.m2.yr),Terrestrial acidification (PDF.m2.yr),Terrestrial ecotoxicity LT (PDF.m2.yr),Terrestrial ecotoxicity ST (PDF.m2.yr),Thermally polluted water (PDF.m2.yr),Water availability freshwater (PDF.m2.yr),Water availability terrestrial (PDF.m2.yr)
Snow Lake (Cu),0.629364868451796,0.1894242316542907,1.264539696879524e-19,0.05421335657008086,0.09237563971718085,0.014992386751485686,2.130941660167521e-05,1.7293392871674498e-10,0.07302099906980528,0.1073322576050618,0.21797024385374691,0.023661082873300855,6.30284140243159e-08,1.6171437141726633e-07,0.005133049976836318,0.01460841243418826,0.141719904427914,0.002301285954565267,0.005902574390539492,0.004417832585219013,0.00011697033657472303,0.00010743672459131134
Casa Berardi,6185.365738769311,1899.0819352151775,6.949374145423473e-15,1101.3494484969003,510.5582668080177,248.87266345743927,0.5145967777816909,2.2444168486559264e-06,1644.5800556396578,15465.435793777659,2204.0119359231535,239.21323121615634,0.0006074109605483309,0.001297257388935044,112.19093568934805,120.46767575251714,2679.936529884453,22.236803850847647,47.34989359927066,12.042658635717665,0.2491924425759904,0.5925958561276542
Fox Complex,3436.0839726550976,1068.9454975097672,8.997196553617491e-15,134.75883546901366,714.6075859626573,102.9218872058401,0.9437708031452976,3.9775544371518626e-07,2357.9949376471386,43265.768744933084,1192.0453027031895,129.39886918906205,0.0008745095398253324,0.0017553960156846094,35.93886198957,907.1318966967992,959.0850474107554,31.9260219297748,64.07195322946524,0.8955997523879817,0.08259693025535575,0.8688838828298818
Hemlo,4694.1799468942,1457.8200067473788,8.306404406087802e-15,697.317242770712,1137.9313059630358,232.1607967318123,1.078124688718441,4.8192939449491095e-05,614.9134105935422,7018.197192745211,1832.1481620377226,198.8367233324968,0.002003926840595046,0.002053634303719212,96.48127598791865,1157.6436305960074,2370.1551592278724,73.16244955366402,74.9576503393478,3.4696249700474273,0.2287262204212453,0.8752373205597739
Meliadine,5746.967387251229,1704.065186962087,5.2615132962491565e-15,841.0596222971376,391.6649127271869,53.63032790405783,0.9234707388554175,2.1466698077358673e-07,341.4007377236447,4361.7947463170985,2103.1736900692163,228.27142817587833,0.00048366169903572175,0.0010090016235723821,256.93508815241717,8401.134770141527,6711.7891073220135,17.655469047176233,36.82855847424667,0.49381297247621264,0.053545054867388545,0.503441747866022
Rainy River,17215.26932586893,5347.094975418296,2.87309194023447e-14,489.6691402851846,4738.252456815252,780.6820964931934,3.1621259427385877,0.0002856089482695943,2344.8667433695196,25540.918589293877,6015.515341602351,652.9489852602187,0.009662491911585573,0.007952363252409672,54.49247415629063,847.0523190346726,1972.4999523475099,352.69944310964814,290.2612514816069,18.280697828468103,1.2052957547208631,3.0368981708281195
Meadowbank complex,9011.764602207691,2783.245296017854,9.245661128698332e-15,1306.9104632842195,877.9967488455627,414.06011589398264,1.3005344112331907,4.776886696638214e-07,423.87060480522547,4225.288642605906,3261.6784385313085,354.03535774772376,0.0008537062161240278,0.0017716715243446958,372.8801245304051,12170.54346711468,10152.942081189592,31.168070952461182,64.66600925784637,0.9071358426239933,0.11484118319983429,0.9166095376736418
Porcupine complex,1936.8365627149128,632.9411775878935,1.520867732202943e-15,81.24539822968877,1084.6330276902022,272.67905483078874,0.4992481206191915,6.911487584454362e-05,1092.1189311264393,17427.058950551687,694.5637724530916,75.3930459508196,0.0021295289559718025,0.0010549723230482517,14.264459490240043,359.46816431880757,402.09630237669705,77.73230176205566,38.50648887052216,4.241729381144486,0.5888337832984154,0.2662752307778457
Canadian Malartic,7520.073898837565,2365.3650156457584,1.7551738317262862e-14,333.6452747253704,1500.2190456904718,335.1856463189519,1.875172730388577,1.999755647783486e-06,1166.0946513398533,6394.129933852247,2641.3180874784116,286.70843309942836,0.00179561783250185,0.0034914129962880895,79.15204540286292,2113.7143983849483,2291.7159705962636,65.56753203129985,127.43657169542142,8.628954724026642,0.43412239720989904,1.6969679005279632
Detour Lake,10687.36525511023,3266.296830683382,1.2098367540145367e-14,644.2870283689883,2503.7975102239975,494.7465282404039,2.458121156814271,9.881705351551198e-05,937.2625199211284,5011.9287200769095,3839.726074686188,416.5624036694139,0.00424813775784797,0.0036209037436984856,132.81173023017521,3821.7063602824824,3868.7879434208016,155.07188392396787,132.1629838376283,7.292006502284866,0.6309683204844565,1.403200447955778
