Climate change,Commodity,Eutrophication,Fisheries impact,Freshwater acidification,Freshwater ecotoxicity,Ionizing radiations,Land occupation,Land transformation,Marine acidification,Marine ecotoxicity,Photochemical ozone formation,Terrestrial acidification,Terrestrial ecotoxicity,Thermally polluted water,Water availability freshwater,Water availability terrestrial,Source,Reference product
15829.344082684329,Porcupine complex,21.205312453158594,3.866959311619617e-15,112.46968536608225,2141.736849703165,6.95069305180844e-05,1151.043422463468,17501.553722812132,4929.563349111558,0.004648111132837104,328.7621424937804,494.1534663864146,169.66114191040123,5.0256831692241954,-0.4835333828638332,0.5192861674749697,MetalliCan,Doré
8173.383540265037,Canadian Malartic,71.70792314898303,1.6312991353101474e-14,309.72786219225435,1356.4979900833514,1.6065300893735553e-06,1123.2304255955335,6346.124895711515,2397.9304433710304,0.004100631342991834,2053.466358735656,2165.664966707832,149.67616063279496,7.940942685817733,-0.1842708183385874,1.4890929012251988,MetalliCan,Doré
15399.21389562251,Detour Lake,138.25046432181944,2.8171021086080954e-14,708.4770441060427,3067.743871354105,9.853651820217519e-05,1095.641616438573,5077.356324025813,4523.029377363158,0.010069139609893522,3877.370791750167,4280.655749596521,367.5320778230581,7.238337573112286,0.21648737838320264,2.6969781468188687,MetalliCan,Doré
6490.88706354349,Kiena,16.9691900602219,1.728151828724969e-14,120.95776424466757,1183.5863025411797,1.767742924106365e-06,1896.3321063458457,24122.11919817765,1858.463478252624,0.004310969989312722,210.84040320234573,668.2118527307382,157.3525482467582,8.890962797552433,-0.04616984505230823,1.5706885697922095,MetalliCan,Doré
6910.758851513362,Magino,286.9985641470091,2.9537832330242045e-14,940.8904714290588,2034.1388012187244,6.747943412629157e-07,925.6453336335031,3190.445527713539,1960.9498847955315,0.007047155616966357,8644.223887715609,7329.799456416672,257.2248133985149,1.8874059883735406,0.06080746036292044,2.6880212098209517,MetalliCan,Doré
1660.9399172420876,Elk,6.613338800454053,7.0997811194308536e-15,41.43824568354823,409.10465068798237,1.6219511540432456e-07,1582.3779681304154,28529.10438008401,443.51948890447255,0.0016924171303471418,63.18232026733944,246.97769081091892,61.774037577894795,0.45366123184454027,0.014615820625511491,0.6460989425610959,MetalliCan,Doré
89522.66546220248,Brucejack,157.3262270878416,3.504735246412689e-15,633.7372677614775,2684.3749627083826,2.5976280855131597e-06,683.358459321003,967.4698979470593,28021.425037196383,0.004082516554649744,5232.750279289713,4281.818444221597,149.01532321466337,25.5505650612429,1.3089137975273166,0.9709233389530582,MetalliCan,Doré
10647.106574925525,Eagle River,97.55959508050849,1.8682963014748883e-14,374.9373053996933,2587.1873399937595,3.976648554553072e-05,376.93238846536775,1430.0741362677838,3146.669767683583,0.005743868399634201,2840.445611736748,2691.9160716168144,209.65540647603123,3.3671005941144294,0.008765732685075245,1.6999372930077454,MetalliCan,Doré
16454.937722314986,Éléonore,42.78509376881309,4.590110986564383e-15,159.31280878885195,1884.1539916685615,2.382812050156569e-06,833.2056550926092,2033.638361132913,5158.016545740815,0.0036982971424900004,956.0568370091079,968.0316230263202,134.9916688334737,11.206582525797103,-0.04106830602845646,0.5070078456383349,MetalliCan,Doré
8175.931386177808,Goldex (Au),24.271318607031017,2.5612551849928063e-14,186.31747798389142,1677.1961270016036,2.6378370075438833e-06,1386.3077688406934,3420.1421274184786,2252.453176598945,0.006375293631317837,260.3806327136462,1049.0839259245172,232.70134389334754,13.420090703231923,-0.30681499151786423,2.31950179523959,MetalliCan,Doré
