Commodity,Climate change EQ LT (PDF.m2.yr),Climate change EQ ST (PDF.m2.yr),Fisheries impact (PDF.m2.yr),Freshwater acidification (PDF.m2.yr),Freshwater ecotoxicity LT (PDF.m2.yr),Freshwater ecotoxicity ST (PDF.m2.yr),Freshwater eutrophication (PDF.m2.yr),Ionizing radiations EQ (PDF.m2.yr),Land occupation biodiversity (PDF.m2.yr),Land transformation biodiversity (PDF.m2.yr),Marine acidification LT (PDF.m2.yr),Marine acidification ST (PDF.m2.yr),Marine ecotoxicity LT (PDF.m2.yr),Marine ecotoxicity ST (PDF.m2.yr),Marine eutrophication (PDF.m2.yr),Photochemical ozone EQ (PDF.m2.yr),Terrestrial acidification (PDF.m2.yr),Terrestrial ecotoxicity LT (PDF.m2.yr),Terrestrial ecotoxicity ST (PDF.m2.yr),Thermally polluted water (PDF.m2.yr),Water availability freshwater (PDF.m2.yr),Water availability terrestrial (PDF.m2.yr)
Snow Lake (Cu),0.06800363815515573,0.020740534176476533,2.9018670427060027e-20,0.04533646812634186,0.00650670798869993,0.01105838757440772,2.818240234617253e-06,9.69569192815476e-12,0.010264404758209625,0.0915148055389582,0.023952841668057327,0.0026001404762614954,4.402883747374673e-09,1.1192568345056244e-08,0.006138684940876396,0.0014405752379817068,0.10540621441921941,0.00016071972276554149,0.00040852873371030894,0.00021284582230397244,5.598504311365122e-06,6.956791702009429e-06
Casa Berardi,11771.834575732872,3598.726974709702,1.832860696712145e-14,1167.7649389780595,1187.2519416666955,1560.1649673267411,1.30104562844288,2.5043764093354763e-06,1790.599661296458,15559.248691844148,4161.322897422736,451.7183093599721,0.0013563866680148385,0.0032808732060904855,157.46267400553006,221.7336613431922,3075.7820634617497,49.511085024461515,119.7518692170956,12.769767921553187,0.27261806978624026,1.6281362720335795
Fox Complex,1458.2138252505613,493.971178626606,8.34472462747307e-15,122.16107266608401,429.59526924972965,114.57862947588919,0.5767259704753765,1.906359578136978e-07,2335.417522534979,43240.483564565635,470.2445712726364,51.045865653132836,0.0005396226429728054,0.0014610213969691995,31.39725433562575,875.3980912039261,892.6915504304587,19.697528679516463,53.32727973885018,0.533210530046086,0.01717869836728119,0.7593921090071732
Hemlo,34377.74278381735,12740.212495277035,1.0549906493614735e-14,1561.5195051484343,6401.345812875937,8311.608252218834,5.613104986012676,3.55392447081536e-06,1293.9796444103229,14316.650095175744,12242.51389608573,1328.915469771592,0.002066470854735249,0.0026695634216756543,172.53329190754977,3922.158007398429,5680.514538835817,75.43715031488705,97.43906332315039,3.052799982748093,0.09291735655683409,2.005414306892707
Meliadine,8106.105280756769,2558.683599450879,1.492147332797317e-14,921.7641541641016,936.62102025616,384.66848175733344,1.153141250942156,4.485942379267571e-07,277.665544312928,503.8989039915467,2877.402134432991,312.3384889209156,0.001002687196420962,0.0026265817081568225,265.2916620078227,8565.719558351955,7135.014939501095,36.60009782077812,95.87023010763929,1.0307889676774922,-0.014352183539396483,1.3918805942092993
Rainy River,35230.23252564519,11014.083492380922,8.299012612561657e-14,847.4686994961761,8760.583117519971,2214.445672795248,8.84405211610505,0.00028756984304334764,3103.4787720784325,26081.535950830174,12221.938157120489,1326.7097321659471,0.014533128457793627,0.018191026950858377,126.37306479641082,1452.4659319289888,4043.9914221917375,530.4852798423458,663.9724684717719,23.207021709884177,0.31114270435579483,8.070972250427388
Meadowbank complex,11604.202040418777,3677.4829519109535,2.6085154682896553e-14,1035.0066983227778,1538.8608808994557,529.5779107386489,1.9514835765047005,7.294133744878103e-07,630.1298858501793,4350.345960320887,4080.4300163612907,442.9280135754942,0.0017293816353394953,0.004576152192598714,284.4110488830603,8984.228721839123,7856.721238843968,63.12582436279133,167.02955111536005,1.761283232042749,-0.03575271483391988,2.4143781599133716
Porcupine complex,12234.998822725387,3594.3452599589427,3.866959311619617e-15,112.46968536608225,1784.6402192156095,357.0966304875552,1.2634459521200243,6.95069305180844e-05,1151.043422463468,17501.553722812132,4446.849090043328,482.7142590682301,0.0028671250333158907,0.0017809860995212131,19.94186650103857,328.7621424937804,494.1534663864146,104.65515048055674,65.00599142984447,5.0256831692241954,-0.4835333828638332,0.5192861674749697
Canadian Malartic,6205.264980738133,1968.1185595269037,1.6312991353101474e-14,309.72786219225435,961.333134946849,395.16485513650235,1.178321800509054,1.6065300893735553e-06,1123.2304255955335,6346.124895711515,2163.1235005034687,234.80694286756156,0.0011601228709683718,0.0029405084720234625,70.52960134847397,2053.466358735656,2165.664966707832,42.34760389501547,107.32855673777951,7.940942685817733,-0.1842708183385874,1.4890929012251988
Detour Lake,11693.503021949353,3705.7108736731575,2.8171021086080954e-14,708.4770441060427,2433.203110749656,634.5407606044489,4.986225892379867,9.853651820217519e-05,1095.641616438573,5077.356324025813,4080.1327084680825,442.89666889507606,0.004279226075069173,0.005789913534824349,133.26423842943956,3877.370791750167,4280.655749596521,156.20023904915124,211.33183877390687,7.238337573112286,0.21648737838320264,2.6969781468188687
Kiena,4899.476624387884,1591.410439155606,1.728151828724969e-14,120.95776424466757,959.7467456556227,223.8395568855571,1.226901957130009,1.767742924106365e-06,1896.3321063458457,24122.11919817765,1676.481835584069,181.98164266855525,0.0012186510930508538,0.003092318896261868,15.74228810309189,210.84040320234573,668.2118527307382,44.482911183657684,112.86963706310051,8.890962797552433,-0.04616984505230823,1.5706885697922095
Magino,5161.806291521671,1748.9525599916913,2.9537832330242045e-14,940.8904714290588,1501.9656745019756,532.1731267167489,8.339129183999987,6.747943412629157e-07,925.6453336335031,3190.445527713539,1768.9467993132657,192.00308548226582,0.0018978115167885441,0.005149344100177812,278.6594349630091,8644.223887715609,7329.799456416672,69.27375817666451,187.9510552218504,1.8874059883735406,0.06080746036292044,2.6880212098209517
Elk,1240.6639460003412,420.27597124174633,7.0997811194308536e-15,41.43824568354823,354.58479861324804,54.519852074734345,0.49068463479142505,1.6219511540432456e-07,1582.3779681304154,28529.10438008401,400.08911949528317,43.4303694091894,0.0004555659286952536,0.001236851201651888,6.122654165662628,63.18232026733944,246.97769081091892,16.628969783757142,45.14506779413765,0.45366123184454027,0.014615820625511491,0.6460989425610959
Brucejack,69430.58051085577,20092.084951346707,3.504735246412689e-15,633.7372677614775,1636.7570651505828,1047.6178975578,0.7553873283363302,2.5976280855131597e-06,683.358459321003,967.4698979470593,25277.503510243438,2743.9215269529445,0.001604579584215168,0.002477936970434576,156.57083975950528,5232.750279289713,4281.818444221597,58.57062587070379,90.44469734395958,25.5505650612429,1.3089137975273166,0.9709233389530582
Eagle River,8109.883961821808,2537.222613103716,1.8682963014748883e-14,374.9373053996933,1408.4353046263916,1178.7520353673679,1.4175011400722006,3.976648554553072e-05,376.93238846536775,1430.0741362677838,2838.544695968262,308.12507171532076,0.002186786152073156,0.0035570822475610446,96.14209394043628,2840.445611736748,2691.9160716168144,79.82190761120148,129.83349886482975,3.3671005941144294,0.008765732685075245,1.6999372930077454
Éléonore,12708.082102999719,3746.855619315266,4.590110986564383e-15,159.31280878885195,1601.734116209591,282.41987545897047,1.5856275188754514,2.382812050156569e-06,833.2056550926092,2033.638361132913,4652.938846076693,505.07769966412206,0.001893106328254322,0.0018051908142356782,41.19946624993764,956.0568370091079,968.0316230263202,69.10220477440076,65.88946405907295,11.206582525797103,-0.04106830602845646,0.5070078456383349
Goldex (Au),6141.383109934708,2034.5482762430997,2.5612551849928063e-14,186.31747798389142,1381.1573221593953,296.0388048422083,1.7862030645799498,2.6378370075438833e-06,1386.3077688406934,3420.1421274184786,2031.8877462422731,220.56543035667204,0.0017971752452556407,0.004578118386062196,22.485115542451066,260.3806327136462,1049.0839259245172,65.60002673203559,167.10131716131195,13.420090703231923,-0.30681499151786423,2.31950179523959
Island,14907.024020624092,5035.378998521772,4.345337207623473e-15,781.5743218398297,883.3093808350282,267.07159765918016,0.7268575031754766,6.320942722499941e-05,173.35446535827896,247.72782785397015,5020.245402267441,544.9265182918513,0.0018607230833296905,0.0012131513679535604,206.98011595947452,5648.970223647779,4884.214458761988,67.92039486109502,44.28002370696286,3.789954879002572,0.06896039294258693,0.4022880544881786
