Climate change,Commodity,"Human toxicity, cancer","Human toxicity, non-cancer",Ionizing radiations,Other,Particulate matter,Photochemical ozone formation,Water availability,Source,Reference product
0.060714157894564,Fox Complex,0.0039813212379235996,,,0.018956463122634555,0.0118841764815599,,0.0006754898716052,MetalliCan,Doré
0.1096156424602138,Hemlo,0.0023717510174364,,,0.006876561207352535,0.0117156303870284,,0.0006076412400009,MetalliCan,Doré
0.10035991203494869,Meliadine,0.0012907421746054422,,,0.0022599086590894147,0.0236991015606667,,0.0003884729166802,MetalliCan,Doré
0.4287317754792946,Rainy River,0.0077914711228602,,,0.009753424150671038,0.0355720299698736,,0.0028521287935198,MetalliCan,Doré
0.1589610230383666,Meadowbank complex,0.0023792052653453764,,,0.004012837953060571,0.0311591326092585,,0.0007786529716759,MetalliCan,Doré
0.1878586010374495,Porcupine complex,0.0028865982820051998,,,0.00944407923258285,0.0068413733220758,,0.000375890574092,MetalliCan,Doré
0.133225787546364,Canadian Malartic,0.0051341370415003,,,0.0036867176785989357,0.0657099761987516,,0.0013501377026561,MetalliCan,Doré
0.1880531190487674,Detour Lake,0.0079358884142909,,,0.005639411438767694,0.0287967795343151,,0.001354089544429,MetalliCan,Doré
0.042243533104275505,Kiena,0.0003088203653267544,,,0.0006553729482521514,0.0038087173151513,,0.0003761389186367,MetalliCan,Doré
0.1327921065990178,Magino,0.008835113486262201,,,0.007801162872716838,0.0485406122600381,,0.0023910323601919,MetalliCan,Doré
0.055088429346281595,Elk,0.00207709465026596,,,0.0012660441862871554,0.0060895465692108,,0.0005747140163764,MetalliCan,Doré
90.45457912359082,Brucejack,0.0035279979390258,,,0.004632477161418585,0.0686568364112642,,0.0010538446713097,MetalliCan,Doré
0.0901988692055715,Eagle River,0.0003422116632004981,,,0.0011391150509961491,0.0116581523578774,,0.0003956740171378,MetalliCan,Doré
0.1895164304144401,Éléonore,0.0039913685114093,,,0.009052773834652174,0.8527098192677821,,0.0002411026027717,MetalliCan,Doré
0.0710602722537987,Goldex (Au),0.0010919591606363,,,0.005837262067409678,0.0144992697978504,,0.0008438226400416,MetalliCan,Doré
660.0369467567893,Island,0.0005759975922849537,,,0.0028477052726529396,0.030517798210384,,0.0002898864482664,MetalliCan,Doré
0.048515898616557494,LaRonde (Doré),0.0004926220231752298,,,0.002042375911247194,0.0131771970818743,,0.0002337720771854,MetalliCan,Doré
0.0281194425361196,Lamaque,0.0007817377902149065,,,0.0003246726804811359,0.0019343259778282,,8.396380270965994e-05,MetalliCan,Doré
0.15014551816985539,Macassa,0.0025917329174502,,,0.0055215496572654935,0.0310272598765999,,0.0026036311227373,MetalliCan,Doré
0.2213923049408204,Musselwhite,0.0019252643539387,,,0.015474925763483792,0.0171348412305714,,0.0003317770764358,MetalliCan,Doré
0.1371726204224183,Red Lake,0.0010523632114572,,,0.01632411131929014,0.0310301883109486,,0.0001217817495308,MetalliCan,Doré
0.5115113947103667,Seabee Gold Operation,0.0019197328531262,,,0.005263998062941122,0.0180848130388605,,0.0004390712539521,MetalliCan,Doré
0.0099690089686087,Snow Lake (Doré),0.00017798546109123233,,,0.0015322265109442021,0.0030127847891881,,8.049876872102317e-05,MetalliCan,Doré
0.162574910857986,Timmins Operation,0.0855539070521596,,,1.0868140683188015,0.0081596649970513,,0.0004512496654397,MetalliCan,Doré
0.10876355771593241,Westwood-Doyon,0.0008662850262346475,,,0.001481577936915587,0.0369868589058671,,0.0006981660311821,MetalliCan,Doré
0.1895164304144401,Eleonore,0.0039913685114093,,,0.009052773834652174,0.8527098192677821,,0.0002411026027717,MetalliCan,Doré
7.2984279141007305e-06,Nunavik Nickel,4.3511075547122283e-08,,,1.4050106648737248e-07,2.4274526442500117e-06,,3.9355168304347056e-08,MetalliCan,Ni concentrate
4.594034067894838e-06,Thompson,1.6219811603313914e-06,,,1.775725536222748e-06,6.130687658182063e-07,,2.1052174906831192e-08,MetalliCan,Ni concentrate
1.7534366773737617e-05,Voisey's Bay,1.1956099422074322e-07,,,3.799467225118848e-07,6.330380653621613e-06,,3.3415566210249354e-08,MetalliCan,Ni concentrate
8.799906212480417e-06,Raglan,7.817478487828232e-08,,,3.3746459136888823e-07,5.705159716594672e-06,,1.0513540877059856e-08,MetalliCan,Ni concentrate
9.688682675444811e-05,Gibraltar (Mo),1.550932916733044e-06,,,6.104949335903107e-06,5.7993178746195375e-05,,1.4618868158267377e-06,MetalliCan,Mo concentrate
4.360485784582473e-05,Highland Valley (Mo),4.907884245366751e-07,,,1.9349859378525444e-06,0.0002974478366958,,4.563355389444145e-07,MetalliCan,Mo concentrate
9.72144487560693e-07,Kidd Creek (Zn),5.273062735092907e-09,,,1.965888303387011e-07,1.397931759990959e-07,,2.337771140644514e-09,MetalliCan,Zn concentrate
2.416107134748253e-06,LaRonde (Zn),2.4532733224124084e-08,,,1.0171096810282074e-07,6.562286032765018e-07,,1.1641923953256306e-08,MetalliCan,Zn concentrate
4.964598199851578e-07,Snow Lake (Zn),8.863732339385968e-09,,,7.630536490216323e-08,1.5003763662868986e-07,,4.008864299071829e-09,MetalliCan,Zn concentrate
