Climate change,Commodity,"Human toxicity, cancer","Human toxicity, non-cancer",Ionizing radiations,Ozone layer depletion,Particulate matter,Photochemical ozone formation,Water availability,Source,Reference product
9.719169490566067e-06,LaRonde (Cu),7.707207790537239e-08,2.1482498497569555e-07,2.896494139884254e-09,1.721182030798116e-11,8.880673153713515e-07,4.7158290856740804e-09,4.817735599344083e-06,MetalliCan,Cu concentrate
3.6110489395610606e-06,New Afton,1.2913337257358114e-07,6.061102196477591e-08,2.4029315992300165e-10,9.311382657314992e-12,2.943129686182159e-07,5.228315223981037e-10,2.2911245187320044e-06,MetalliCan,Cu concentrate
1.3831020157337583e-06,Snow Lake (Cu),1.3886950995239585e-08,7.41189237581488e-08,1.651148450624174e-10,4.142366496158617e-12,5.812939245712038e-07,2.1320728987328302e-10,8.099419065860645e-07,MetalliCan,Cu concentrate
0.18578625560909134,Casa Berardi,0.00141552624656535,0.002250215939672859,2.19364594869596e-05,2.8685530873257406e-07,0.013725195647951096,1.4499260198057051e-05,0.03031476123687682,MetalliCan,Doré
0.07067264956052785,Fox Complex,0.002909851788320396,0.003808293699852832,4.352750227546866e-06,9.973884518124891e-08,0.016513590148157935,9.709987687101186e-05,0.009933248786741955,MetalliCan,Doré
0.11857386744644863,Hemlo,0.002469692073188686,0.0016705572359127997,3.915544294935308e-06,8.972071561073024e-08,0.013233925194972795,0.00011841478432239842,0.009266897745113134,MetalliCan,Doré
0.10611096226971148,Meliadine,0.0013900604987452587,0.0009597203875717224,2.3745183175424773e-06,5.5461488286609803e-08,0.028796386421796504,0.0008764612109389551,0.006451402317067201,MetalliCan,Doré
0.46153529297422097,Rainy River,0.008293111004558413,0.007381464352922833,0.002748418574311843,8.283033645070961e-07,0.03220428753144572,9.500708159631828e-05,0.14676086573528835,MetalliCan,Doré
0.1716557938558938,Meadowbank complex,0.00251837853094112,0.002144921519871273,5.4020672718899e-06,5.34159680134039e-07,0.035741139182997914,0.0009251338683613319,0.01083041464561707,MetalliCan,Doré
0.19012521401952562,Porcupine complex,0.0027359885956524895,0.005853253595005265,0.0006649783304619682,2.648910702706743e-07,0.007278145531355258,2.4766514547358304e-05,0.04961638109723321,MetalliCan,Doré
0.15355739218731085,Canadian Malartic,0.005553185360193578,0.003433007939179557,2.0384082314642448e-05,3.6272370468424703e-07,0.02400959682953515,0.0002247348655670324,0.05271816194558365,MetalliCan,Doré
0.20529849290295735,Detour Lake,0.008139367147454862,0.004290886313922425,0.0009508951449892982,5.656528785263289e-07,0.03002461132246318,0.0004025090299970487,0.07677791742172957,MetalliCan,Doré
0.04794821791507338,Kiena,0.00045654550705212407,0.0007018225595887054,1.5665642537064062e-06,4.2899749531180545e-08,0.0031443130602337235,8.440622556523428e-06,0.003841228313610223,MetalliCan,Doré
0.16804219224539468,Magino,0.009542798788847843,0.005900576492286805,1.5407435581479556e-05,3.530457167333137e-07,0.0560021128498107,0.0009226799012674128,0.035160734733166166,MetalliCan,Doré
0.06356122069822291,Elk,0.002275496827270904,0.0013708641079618244,3.7033664522961145e-06,8.485887642903432e-08,0.005503117240219156,1.1450817401700244e-05,0.008451314171737279,MetalliCan,Doré
90.46509150422933,Brucejack,0.0033288404653440793,0.0042665407447684545,3.8015499089556644e-05,1.268085193619598e-06,0.02850847146618909,0.0005493294424002716,0.16390601146742512,MetalliCan,Doré
0.09619983173231317,Eagle River,0.0004898494050956747,0.0007497031769234492,1.6479251166428584e-06,4.512778494902658e-08,0.014923737404920876,0.00028008808153950416,0.001787556405933144,MetalliCan,Doré
0.21403326810154852,Éléonore,0.0038932639823018272,0.0019062024605841486,1.9445583367758106e-05,2.1313264237397874e-07,0.11111502394694263,9.664101897627231e-05,0.029837152420601143,MetalliCan,Doré
0.18829077236362163,Goldex (Au),0.0015928057059338826,0.0064539801566463485,2.730579683375889e-05,2.717331830355658e-07,0.01569059066934541,5.7469353947182546e-05,0.052479348305979556,MetalliCan,Doré
660.0398843152756,Island,0.0004952840241134474,0.0009945355050088298,0.0006061485316548707,1.9487890831949177e-07,0.05393669235851658,0.0005862951760004898,0.02035334347058626,MetalliCan,Doré
0.07295452890268328,LaRonde (Doré),0.0005785223859515395,0.001612530327836998,2.1741812514109167e-05,1.291962526983951e-07,0.006666056578958596,3.539819956731072e-05,0.03616313363815138,MetalliCan,Doré
0.04693584269072895,Lamaque,0.0008312214932105804,0.0005433251032279543,6.143095445178514e-06,7.857303585739125e-08,0.0022606408591368007,9.760924603016796e-06,0.015495610125592751,MetalliCan,Doré
0.18957787155902778,Macassa,0.0035593087633141503,0.005027080394427526,1.1141856044423206e-05,3.0134706745143514e-07,0.03002426253049828,0.00015762146863308626,0.0264500103272014,MetalliCan,Doré
0.22494972200607954,Musselwhite,0.0016360769159937257,0.0014588905293443613,0.0006779504300520028,2.748242514498136e-07,0.02568030369475158,0.0002967227878244477,0.03134041582778746,MetalliCan,Doré
0.13976979129602665,Red Lake,0.00037351040392134154,0.004443745732002366,2.551026091672474e-06,4.387140975557458e-08,0.08280793955947315,9.454682910807227e-06,0.05454475865287989,MetalliCan,Doré
0.5162905547627545,Seabee Gold Operation,0.0017169669838906318,0.004901737097778507,5.324015599217995e-06,4.84307743788836e-07,0.013217056937628896,0.00010198709298996014,0.016390966154703257,MetalliCan,Doré
