Climate change,Commodity,Freshwater acidification,Freshwater ecotoxicity,Land occupation,Land transformation,Marine acidification,Other,Terrestrial acidification,Terrestrial ecotoxicity,Thermally polluted water,Water availability freshwater,Water availability terrestrial,Source,Reference product
1.8612879920155678,Goldex (Cu),0.03657514907627198,0.46811495369439077,0.2184606232499046,0.46432431431692484,0.5565483088596022,0.07947668386133659,0.23848745028229074,0.020378648121457645,0.0018171771658018392,5.723990415419308e-05,0.00012821557242021777,MetalliCan,Cu concentrate
0.19623900584216025,Kidd Creek,0.007834749539747452,0.03377696861251449,0.02234589087960186,0.3511858084023433,0.061708148725506846,0.07695972120434283,0.062231581792842515,0.0013894414514832017,8.694976969934614e-06,9.831137124401672e-07,3.3559637897360627e-06,MetalliCan,Cu concentrate
0.7211686119475885,LaRonde (Cu),0.013665127070839582,0.13256002425624283,0.1764262228187035,0.580676364117132,0.21608039524979286,0.048858732005814316,0.10532589372892505,0.006253755165039302,0.0016366654060813817,3.944359935727747e-05,3.2481980502401686e-05,MetalliCan,Cu concentrate
0.26794214813115536,New Afton,0.0016090227653117893,0.04496549502575597,0.05034249832833657,0.6247345948773642,0.08066806099124538,0.006075724888779986,0.010993717698085652,0.0025880260977092333,0.00012311675688566533,1.8757815934701202e-05,1.1803968287165902e-05,MetalliCan,Cu concentrate
0.10262705693001191,Snow Lake (Cu),0.004976245577203645,0.027792477297476692,0.011948057146725822,0.09190632443715128,0.03058055534427009,0.003926734724752681,0.05727957298020882,0.0011643831402904769,0.0002175152108744998,6.631128547282842e-06,5.945181666014732e-06,MetalliCan,Cu concentrate
13785.459363589054,Casa Berardi,140.1540219541072,1001.858980817924,1961.786640146799,15532.24629265593,4192.783727308854,198.79193888401727,1510.0027648496405,69.12695853496555,12.049611388944383,0.24819197155672157,0.33332319764032126,MetalliCan,Doré
5243.9559426992955,Fox Complex,125.13142178944756,1027.197747256807,2341.5072423315887,43360.64844961543,1487.5487981599126,972.167816222862,971.282714017286,92.1354261041281,0.8941753204878737,0.08132515315160926,0.4751330887561136,MetalliCan,Doré
8798.257040615175,Hemlo,185.92057243668415,924.0929042085841,529.9429556857203,6933.146247315579,2837.3949748314412,1198.773357043446,1691.485029112134,82.84549412827548,0.8043611277100192,0.07586962680000298,0.4274090123881037,MetalliCan,Doré
7873.501479663553,Meliadine,835.381729038002,567.3093078929394,145.1717543412874,691.124174519664,2425.30816106862,8674.676955734547,6717.326755851231,52.05151977578842,0.48897010965860693,0.05281869937441952,0.27162332272245016,MetalliCan,Doré
34246.21485699585,Rainy River,260.0307319908753,6351.147041478488,2373.4950296174707,25586.055232015224,10146.924392308789,1016.162420144024,1838.0994281593403,632.7879473757896,18.27023237092173,1.2015555171147412,1.906029043957773,MetalliCan,Doré
12736.970039822683,Meadowbank complex,931.5506280556049,1696.7202870246024,395.2384917843859,4219.32356516916,3835.3125869896926,9188.3851773856,7392.155519228139,92.14787958022379,0.9394904682452156,0.08867039864397963,0.5246512097976452,MetalliCan,Doré
