technosphere_id,year,flow_type,subflow_type,unit,value,comment,main_id,facility_group_id,company_id,source_id,value_MJ,unit_source,assumption_note,unit_standard,needs_factor,site_id,activity_name,mining_processing_type,archetypes,concentrate,mass_conc,allocation_factor,facility_type,value_normalized,functional_unit,normalization_key
TECH-599152a0-2023.0-4.0,2023.0,Energy,Propane,TJ,10.12,Share of primary energy source derived from the all group,BC-MAIN-599152a0,,CMP-12afc634,HudbayMineralsInc_Hudbay-2023-Integrated-Annual-Report-Performance-Data,10120000.0,direct_unit,tj→MJ factor=1000000.0,MJ,False,BC-MAIN-599152a0,Open-pit mining and beneficiation at Copper Mountain,"Open-pit, concentrator","Porphyry sulfide, flotation-based",Cu,63500.0,1.0,mining,159.37007874015748,Cu concentrate,concentrate_economic
TECH-aeafbb59-2023.0-1.0,2023.0,Energy,Diesel,GJ,3947008.0,,ON-MAIN-aeafbb59,,CMP-6265c407,AgnicoEagleMinesLimited_2023-Sustainability-Performance_data,3947008000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,ON-MAIN-aeafbb59,Open-pit mining and beneficiation at Detour Lake,"Open-pit, concentrator",Free-miling,Au,24.0082838377551,1.0,mining,164401921.71474534,Doré,concentrate_economic
TECH-aeafbb59-2023.0-2.0,2023.0,Energy,Electricity consumption|Grid electricity,kWh,830958937.0,,ON-MAIN-aeafbb59,,CMP-6265c407,AgnicoEagleMinesLimited_2023-Sustainability-Performance_data,2991452173.2,direct_unit,kwh→MJ factor=3.6,MJ,False,ON-MAIN-aeafbb59,Open-pit mining and beneficiation at Detour Lake,"Open-pit, concentrator",Free-miling,Au,24.0082838377551,1.0,mining,124600833.33801988,Doré,concentrate_economic
TECH-aeafbb59-2023.0-3.0,2023.0,Energy,Explosives,GJ,65074.0,,ON-MAIN-aeafbb59,,CMP-6265c407,AgnicoEagleMinesLimited_2023-Sustainability-Performance_data,65074000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,ON-MAIN-aeafbb59,Open-pit mining and beneficiation at Detour Lake,"Open-pit, concentrator",Free-miling,Au,24.0082838377551,1.0,mining,2710481.1172577655,Doré,concentrate_economic
TECH-aeafbb59-2023.0-4.0,2023.0,Energy,Light Fuel & Gasoline,GJ,71904.0,,ON-MAIN-aeafbb59,,CMP-6265c407,AgnicoEagleMinesLimited_2023-Sustainability-Performance_data,71904000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,ON-MAIN-aeafbb59,Open-pit mining and beneficiation at Detour Lake,"Open-pit, concentrator",Free-miling,Au,24.0082838377551,1.0,mining,2994966.2577266246,Doré,concentrate_economic
TECH-aeafbb59-2023.0-5.0,2023.0,Energy,Propane,GJ,182468.0,,ON-MAIN-aeafbb59,,CMP-6265c407,AgnicoEagleMinesLimited_2023-Sustainability-Performance_data,182468000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,ON-MAIN-aeafbb59,Open-pit mining and beneficiation at Detour Lake,"Open-pit, concentrator",Free-miling,Au,24.0082838377551,1.0,mining,7600210.045544918,Doré,concentrate_economic
TECH-cb85213a-2023.0-1.0,2023.0,Energy,Diesel,kl,2829.0,,ON-MAIN-cb85213a,,CMP-3d2c4955,WesdomeGoldMinesLtd._ESG_data_2023,101575245.0,lhv+density,"diesel MJ/kg=43.0, dens=0.835 kg/L",MJ,False,ON-MAIN-cb85213a,Underground mining and beneficiation at Eagle River,"Underground, concentrator",Free-miling,Au,2.7760508515306124,1.0,mining,36589835.86125418,Doré,concentrate_economic
TECH-cb85213a-2023.0-2.0,2023.0,Energy,Electricity consumption|Generated on-site,MWh,34190.62,Given in MW in the Excel file but does not make sense,ON-MAIN-cb85213a,,CMP-3d2c4955,WesdomeGoldMinesLtd._ESG_data_2023,123086232.0,direct_unit,mwh→MJ factor=3600.0,MJ,False,ON-MAIN-cb85213a,Underground mining and beneficiation at Eagle River,"Underground, concentrator",Free-miling,Au,2.7760508515306124,1.0,mining,44338608.54246772,Doré,concentrate_economic
TECH-cb85213a-2023.0-3.0,2023.0,Energy,Electricity consumption|Grid electricity,MWh,38555.38,Given in MW in the Excel file but does not make sense,ON-MAIN-cb85213a,,CMP-3d2c4955,WesdomeGoldMinesLtd._ESG_data_2023,138799368.0,direct_unit,mwh→MJ factor=3600.0,MJ,False,ON-MAIN-cb85213a,Underground mining and beneficiation at Eagle River,"Underground, concentrator",Free-miling,Au,2.7760508515306124,1.0,mining,49998856.441506155,Doré,concentrate_economic
TECH-cb85213a-2023.0-5.0,2023.0,Energy,Gasoline,kl,369.0,,ON-MAIN-cb85213a,,CMP-3d2c4955,WesdomeGoldMinesLtd._ESG_data_2023,12095820.0,lhv+density,"gasoline MJ/kg=44.0, dens=0.745 kg/L",MJ,False,ON-MAIN-cb85213a,Underground mining and beneficiation at Eagle River,"Underground, concentrator",Free-miling,Au,2.7760508515306124,1.0,mining,4357204.045210775,Doré,concentrate_economic
