site_id,flow_type,functional_unit,normalization_key,allocation_factor,unit,activity_name,mining_processing_type,archetypes,npv,operation_periods,data_source,value_formula,parameter_distribution,value_normalized,reference_mass_unit
BC-MAIN-ed23117f,transformation_to,Cu concentrate,land_concentrate_economic,1.0,m2,Open-pit mining and beneficiation at Mount Milligan,"Open-pit, concentrator",Cu Porphyry,Cold Evergreen Needleleaf Forest,2014–open,MetalliCan,,,0.006739168473275041,kg
BC-MAIN-ed23117f,occupation,Cu concentrate,land_concentrate_economic,1.0,m2*year,Open-pit mining and beneficiation at Mount Milligan,"Open-pit, concentrator",Cu Porphyry,Cold Evergreen Needleleaf Forest,2014–open,MetalliCan,,,0.13478336946550082,kg
MB-MAIN-e0a6250e,transformation_from,Ni concentrate,land_concentrate_economic,1.0,m2,Open-pit and underground mining and beneficiation at Thompson (T-1 and T-3),"Open-pit, underground, concentrator",Ni–Cu sulfide,Cold Evergreen Needleleaf Forest,,MetalliCan,,,0.007576707324608702,kg
MB-MAIN-e0a6250e,transformation_to,Ni concentrate,land_concentrate_economic,1.0,m2,Open-pit and underground mining and beneficiation at Thompson (T-1 and T-3),"Open-pit, underground, concentrator",Ni–Cu sulfide,Cold Evergreen Needleleaf Forest,,MetalliCan,,,0.007576707324608702,kg
MB-MAIN-e0a6250e,occupation,Ni concentrate,land_concentrate_economic,1.0,m2*year,Open-pit and underground mining and beneficiation at Thompson (T-1 and T-3),"Open-pit, underground, concentrator",Ni–Cu sulfide,Cold Evergreen Needleleaf Forest,,MetalliCan,,,0.15153414649217403,kg
NL-MAIN-2d8801d6,transformation_from,Ni concentrate,land_concentrate_economic,1.0,m2,Open-pit and underground mining and beneficiation at Voisey’s Bay,"Open-pit, underground, concentrator",Ni–Cu sulfide,Cold Evergreen Needleleaf Forest,2005–open,MetalliCan,,,0.00283793424448,kg
NL-MAIN-2d8801d6,transformation_to,Ni concentrate,land_concentrate_economic,1.0,m2,Open-pit and underground mining and beneficiation at Voisey’s Bay,"Open-pit, underground, concentrator",Ni–Cu sulfide,Cold Evergreen Needleleaf Forest,2005–open,MetalliCan,,,0.00283793424448,kg
NL-MAIN-2d8801d6,occupation,Ni concentrate,land_concentrate_economic,1.0,m2*year,Open-pit and underground mining and beneficiation at Voisey’s Bay,"Open-pit, underground, concentrator",Ni–Cu sulfide,Cold Evergreen Needleleaf Forest,2005–open,MetalliCan,,,0.056758684889599995,kg
ON-MAIN-0aadf28f,transformation_from,Doré,land_concentrate_economic,1.0,m2,Open-pit and underground mining and beneficiation at Rainy River,"Open-pit, underground, concentrator",Au–Ag free-milling,Cool Mixed Forest,2017–open,MetalliCan,,,141.49085785832796,kg
ON-MAIN-0aadf28f,transformation_to,Doré,land_concentrate_economic,1.0,m2,Open-pit and underground mining and beneficiation at Rainy River,"Open-pit, underground, concentrator",Au–Ag free-milling,Cool Mixed Forest,2017–open,MetalliCan,,,141.49085785832796,kg
ON-MAIN-0aadf28f,occupation,Doré,land_concentrate_economic,1.0,m2*year,Open-pit and underground mining and beneficiation at Rainy River,"Open-pit, underground, concentrator",Au–Ag free-milling,Cool Mixed Forest,2017–open,MetalliCan,,,2829.8171571665594,kg
ON-MAIN-1f126a43,transformation_from,Doré,land_concentrate_economic,1.0,m2,Underground mining and beneficiation at Macassa,"Underground, concentrator",Au–Ag free-milling,Cool Mixed Forest,1933–1999; 2002–open,MetalliCan,,,40.01531250422456,kg
ON-MAIN-1f126a43,transformation_to,Doré,land_concentrate_economic,1.0,m2,Underground mining and beneficiation at Macassa,"Underground, concentrator",Au–Ag free-milling,Cool Mixed Forest,1933–1999; 2002–open,MetalliCan,,,40.01531250422456,kg
ON-MAIN-1f126a43,occupation,Doré,land_concentrate_economic,1.0,m2*year,Underground mining and beneficiation at Macassa,"Underground, concentrator",Au–Ag free-milling,Cool Mixed Forest,1933–1999; 2002–open,MetalliCan,,,800.3062500844912,kg
ON-MAIN-28f3f0fc,transformation_from,Ni concentrate,land_concentrate_economic,1.0,m2,Underground mining at Totten,Underground,Ni–Cu sulfide,Cool Mixed Forest,2014–open,MetalliCan,,,0.0007063356667445261,kg
ON-MAIN-28f3f0fc,transformation_to,Ni concentrate,land_concentrate_economic,1.0,m2,Underground mining at Totten,Underground,Ni–Cu sulfide,Cool Mixed Forest,2014–open,MetalliCan,,,0.0007063356667445261,kg
ON-MAIN-28f3f0fc,occupation,Ni concentrate,land_concentrate_economic,1.0,m2*year,Underground mining at Totten,Underground,Ni–Cu sulfide,Cool Mixed Forest,2014–open,MetalliCan,,,0.01412671333489052,kg
