site_id,activity_name,mining_processing_type,archetypes,flow_type,subflow_type,value,unit,data_source,value_formula,parameter_distribution,Stream,concentrate,mass_conc,allocation_factor,facility_type,value_normalized,functional_unit,normalization_key,reference_mass_unit
GRP-0d911886,Open-pit and underground mining at Porcupine complex,"Open-pit, underground",Au–Ag free-milling,Material use,Tires,626.983579787717,t,MetalliCan,,,,Au,8.251948979591836,1.0,mining,0.0759800601455887,Doré,concentrate_economic,kg
ON-MAIN-0aadf28f,Open-pit and underground mining and beneficiation at Rainy River,"Open-pit, underground, concentrator",Au–Ag free-milling,Material use,2.5'' balls,5977.02,t,MetalliCan,,,,Au,8.05342613010203,1.0,mining,0.7421710838892709,Doré,concentrate_economic,kg
ON-MAIN-0aadf28f,Open-pit and underground mining and beneficiation at Rainy River,"Open-pit, underground, concentrator",Au–Ag free-milling,Material use,5.5'' balls,2819.39,t,MetalliCan,,,,Au,8.05342613010203,1.0,mining,0.35008578392017614,Doré,concentrate_economic,kg
ON-MAIN-0aadf28f,Open-pit and underground mining and beneficiation at Rainy River,"Open-pit, underground, concentrator",Au–Ag free-milling,Material use,Anti-scalant,231.23982,t,MetalliCan,,,,Au,8.05342613010203,1.0,mining,0.028713222951865628,Doré,concentrate_economic,kg
ON-MAIN-0aadf28f,Open-pit and underground mining and beneficiation at Rainy River,"Open-pit, underground, concentrator",Au–Ag free-milling,Material use,Caustic soda,526.21,t,MetalliCan,,,,Au,8.05342613010203,1.0,mining,0.06533989279831308,Doré,concentrate_economic,kg
ON-MAIN-0aadf28f,Open-pit and underground mining and beneficiation at Rainy River,"Open-pit, underground, concentrator",Au–Ag free-milling,Material use,Cyanide,2269.57,t,MetalliCan,,,,Au,8.05342613010203,1.0,mining,0.2818142196048487,Doré,concentrate_economic,kg
ON-MAIN-0aadf28f,Open-pit and underground mining and beneficiation at Rainy River,"Open-pit, underground, concentrator",Au–Ag free-milling,Material use,Explosives,14805.627,t,MetalliCan,,,,Au,8.05342613010203,1.0,mining,1.838425877485813,Doré,concentrate_economic,kg
ON-MAIN-0aadf28f,Open-pit and underground mining and beneficiation at Rainy River,"Open-pit, underground, concentrator",Au–Ag free-milling,Material use,Flocculant,149.1,t,MetalliCan,,,,Au,8.05342613010203,1.0,mining,0.018513859516596946,Doré,concentrate_economic,kg
ON-MAIN-0aadf28f,Open-pit and underground mining and beneficiation at Rainy River,"Open-pit, underground, concentrator",Au–Ag free-milling,Material use,Lime,6390.4,t,MetalliCan,,,,Au,8.05342613010203,1.0,mining,0.7935007904417245,Doré,concentrate_economic,kg
GRP-147b3123,Underground mining and beneficiation at Timmins Operation,"Underground, concentrator",Au–Ag free-milling,Material use,Ammonium nitrate,6.9,t,MetalliCan,,,,Au,4.218015459183674,1.0,mining,0.0016358403772506278,Doré,concentrate_economic,kg
GRP-147b3123,Underground mining and beneficiation at Timmins Operation,"Underground, concentrator",Au–Ag free-milling,Material use,Dynamite,1629.933333333333,t,MetalliCan,,,,Au,4.218015459183674,1.0,mining,0.3864218491149815,Doré,concentrate_economic,kg
GRP-147b3123,Underground mining and beneficiation at Timmins Operation,"Underground, concentrator",Au–Ag free-milling,Material use,Emulsions,675.4333333333334,t,MetalliCan,,,,Au,4.218015459183674,1.0,mining,0.16013059692864479,Doré,concentrate_economic,kg
QC-MAIN-02884fb5,Underground mining and beneficiation at Westwood-Doyon,"Underground, concentrator",Au–Ag free-milling,Material use,ANFO,665.608695652174,t,MetalliCan,,,,Au,4.118166876530612,1.0,mining,0.16162742200794986,Doré,concentrate_economic,kg
QC-MAIN-02884fb5,Underground mining and beneficiation at Westwood-Doyon,"Underground, concentrator",Au–Ag free-milling,Material use,Anti-scalant,35.4,t,MetalliCan,,,,Au,4.118166876530612,1.0,mining,0.008596057678416145,Doré,concentrate_economic,kg
QC-MAIN-02884fb5,Underground mining and beneficiation at Westwood-Doyon,"Underground, concentrator",Au–Ag free-milling,Material use,Carbon,60.4,t,MetalliCan,,,,Au,4.118166876530612,1.0,mining,0.014666719880687433,Doré,concentrate_economic,kg
QC-MAIN-02884fb5,Underground mining and beneficiation at Westwood-Doyon,"Underground, concentrator",Au–Ag free-milling,Material use,Caustic soda,86.6,t,MetalliCan,,,,Au,4.118166876530612,1.0,mining,0.021028773868667743,Doré,concentrate_economic,kg
QC-MAIN-02884fb5,Underground mining and beneficiation at Westwood-Doyon,"Underground, concentrator",Au–Ag free-milling,Material use,Compressor oil,1.5,t,MetalliCan,,,,Au,4.118166876530612,1.0,mining,0.0003642397321362773,Doré,concentrate_economic,kg
QC-MAIN-02884fb5,Underground mining and beneficiation at Westwood-Doyon,"Underground, concentrator",Au–Ag free-milling,Material use,Cyanide,399.3,t,MetalliCan,,,,Au,4.118166876530612,1.0,mining,0.09696061669467702,Doré,concentrate_economic,kg
QC-MAIN-02884fb5,Underground mining and beneficiation at Westwood-Doyon,"Underground, concentrator",Au–Ag free-milling,Material use,Emulsion ANFO,1420.2,t,MetalliCan,,,,Au,4.118166876530612,1.0,mining,0.34486217838662736,Doré,concentrate_economic,kg
QC-MAIN-02884fb5,Underground mining and beneficiation at Westwood-Doyon,"Underground, concentrator",Au–Ag free-milling,Material use,Explosives,1483.4,t,MetalliCan,,,,Au,4.118166876530612,1.0,mining,0.36020881243396924,Doré,concentrate_economic,kg
