technosphere_id,year,flow_type,subflow_type,unit,value,comment,main_id,facility_group_id,company_id,source_id,mass,mass_source,mass_note,needs_density,site_id,activity_name,mining_processing_type,archetypes,metal,mass_t,allocation_factor,facility_type,value_normalized,functional_unit,normalization_key
TECH-GRP-0d911886-2023.0-10.0,2023,Material use,Lubricants,kl,619.366,,,GRP-0d911886,CMP-4a434d72,NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,545.0420799999999,L×density→t,kl×density=0.88 kg/L,False,GRP-0d911886,Open-pit and underground mining at Porcupine complex,"Open-pit, underground",Free-miling,Au,8.08691,1.0,mining,67.39806427918698,"Au, usable ore",metal_economic
TECH-GRP-0d911886-2023.0-12.0,2023,Material use,Nitric acid (HNO3),l,175.0,,,GRP-0d911886,CMP-4a434d72,NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,0.26425,L×density→t,l×density=1.51 kg/L,False,GRP-0d911886,Open-pit and underground mining at Porcupine complex,"Open-pit, underground",Free-miling,Au,8.08691,1.0,mining,0.032676263245170284,"Au, usable ore",metal_economic
TECH-GRP-0d911886-2023.0-14.0,2023,Material use,Sodium cyanide (NaCN),t,734.521,,,GRP-0d911886,CMP-4a434d72,NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,734.521,t,reported in tonnes,False,GRP-0d911886,Open-pit and underground mining at Porcupine complex,"Open-pit, underground",Free-miling,Au,8.08691,1.0,mining,90.82838809879175,"Au, usable ore",metal_economic
TECH-GRP-0d911886-2023.0-15.0,2023,Material use,Sulfuric acid (H2SO4),l,5.0,,,GRP-0d911886,CMP-4a434d72,NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,0.009200000000000002,L×density→t,l×density=1.84 kg/L,False,GRP-0d911886,Open-pit and underground mining at Porcupine complex,"Open-pit, underground",Free-miling,Au,8.08691,1.0,mining,0.0011376409530958057,"Au, usable ore",metal_economic
TECH-GRP-0d911886-2023.0-16.0,2023,Material use,Tires,t,626.983579787717,,,GRP-0d911886,CMP-4a434d72,NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,626.983579787717,t,reported in tonnes,False,GRP-0d911886,Open-pit and underground mining at Porcupine complex,"Open-pit, underground",Free-miling,Au,8.08691,1.0,mining,77.53067361794764,"Au, usable ore",metal_economic
TECH-0aadf28f-2023.0-1.0,2023,Material use,2.5'' balls,t,5977.02,,ON-MAIN-0aadf28f,,CMP-d94be190,NewGoldInc_2023-New-Gold-ESG-Data-Factbook,5977.02,t,reported in tonnes,False,ON-MAIN-0aadf28f,Open-pit and underground mining and beneficiation at Rainy River,"Open-pit, underground, concentrator",Free-miling,Au,7.89235760749999,1.0,mining,757.3174325400723,"Au, usable ore",metal_economic
TECH-0aadf28f-2023.0-2.0,2023,Material use,5.5'' balls,t,2819.39,,ON-MAIN-0aadf28f,,CMP-d94be190,NewGoldInc_2023-New-Gold-ESG-Data-Factbook,2819.39,t,reported in tonnes,False,ON-MAIN-0aadf28f,Open-pit and underground mining and beneficiation at Rainy River,"Open-pit, underground, concentrator",Free-miling,Au,7.89235760749999,1.0,mining,357.23039175528174,"Au, usable ore",metal_economic
TECH-0aadf28f-2023.0-3.0,2023,Material use,Anti-scalant,kg,231239.82,,ON-MAIN-0aadf28f,,CMP-d94be190,NewGoldInc_2023-New-Gold-ESG-Data-Factbook,231.23982,kg→t,kg/1000,False,ON-MAIN-0aadf28f,Open-pit and underground mining and beneficiation at Rainy River,"Open-pit, underground, concentrator",Free-miling,Au,7.89235760749999,1.0,mining,29.299207093740435,"Au, usable ore",metal_economic
TECH-0aadf28f-2023.0-4.0,2023,Material use,Caustic soda,t,526.21,,ON-MAIN-0aadf28f,,CMP-d94be190,NewGoldInc_2023-New-Gold-ESG-Data-Factbook,526.21,t,reported in tonnes,False,ON-MAIN-0aadf28f,Open-pit and underground mining and beneficiation at Rainy River,"Open-pit, underground, concentrator",Free-miling,Au,7.89235760749999,1.0,mining,66.67335999827864,"Au, usable ore",metal_economic
TECH-0aadf28f-2023.0-5.0,2023,Material use,Cyanide,t,2269.57,,ON-MAIN-0aadf28f,,CMP-d94be190,NewGoldInc_2023-New-Gold-ESG-Data-Factbook,2269.57,t,reported in tonnes,False,ON-MAIN-0aadf28f,Open-pit and underground mining and beneficiation at Rainy River,"Open-pit, underground, concentrator",Free-miling,Au,7.89235760749999,1.0,mining,287.56553020902925,"Au, usable ore",metal_economic
