technosphere_id,year,flow_type,subflow_type,unit,value,comment,main_id,facility_group_id,company_id,source_id,mass_t,mass_source,mass_note,needs_density,value_tonnes_main,value_tonnes_group,value_tonnes_match,value_normalized,normalization_key
TECH-0aadf28f-2023-5,2023,Material use,Caustic soda,t,526.21,,ON-MAIN-0aadf28f,,CMP-d94be190,SRC_NewGoldInc_2023-New-Gold-ESG-Data-Factbook,526.21,t,reported in tonnes,False,8764000.0,,8764000.0,6.004221816522137e-05,main_id
TECH-0aadf28f-2023-6,2023,Material use,Cyanide,t,2269.57,,ON-MAIN-0aadf28f,,CMP-d94be190,SRC_NewGoldInc_2023-New-Gold-ESG-Data-Factbook,2269.57,t,reported in tonnes,False,8764000.0,,8764000.0,0.0002589650844363305,main_id
TECH-0aadf28f-2023-9,2023,Material use,Flocculant,t,149.1,,ON-MAIN-0aadf28f,,CMP-d94be190,SRC_NewGoldInc_2023-New-Gold-ESG-Data-Factbook,149.1,t,reported in tonnes,False,8764000.0,,8764000.0,1.7012779552715656e-05,main_id
TECH-0aadf28f-2023-11,2023,Material use,Lime,t,6390.4,,ON-MAIN-0aadf28f,,CMP-d94be190,SRC_NewGoldInc_2023-New-Gold-ESG-Data-Factbook,6390.4,t,reported in tonnes,False,8764000.0,,8764000.0,0.0007291647649475125,main_id
TECH-02884fb5-2023-3,2023,Material use,Anti-scalant,t,35.4,,QC-MAIN-02884fb5,,CMP-3d0a95b7,SRC_IAMGOLDCorporation_2023_iamgold-esg-performance-data-final_protected,35.4,t,reported in tonnes,False,1034000.0,,1034000.0,3.4235976789168274e-05,main_id
TECH-02884fb5-2023-4,2023,Material use,Carbon,t,60.4,,QC-MAIN-02884fb5,,CMP-3d0a95b7,SRC_IAMGOLDCorporation_2023_iamgold-esg-performance-data-final_protected,60.4,t,reported in tonnes,False,1034000.0,,1034000.0,5.841392649903288e-05,main_id
TECH-02884fb5-2023-5,2023,Material use,Caustic soda,t,86.6,,QC-MAIN-02884fb5,,CMP-3d0a95b7,SRC_IAMGOLDCorporation_2023_iamgold-esg-performance-data-final_protected,86.6,t,reported in tonnes,False,1034000.0,,1034000.0,8.375241779497098e-05,main_id
TECH-02884fb5-2023-6,2023,Material use,Compressor oil,t,1.5,,QC-MAIN-02884fb5,,CMP-3d0a95b7,SRC_IAMGOLDCorporation_2023_iamgold-esg-performance-data-final_protected,1.5,t,reported in tonnes,False,1034000.0,,1034000.0,1.4506769825918762e-06,main_id
TECH-02884fb5-2023-7,2023,Material use,Cyanide,t,399.3,,QC-MAIN-02884fb5,,CMP-3d0a95b7,SRC_IAMGOLDCorporation_2023_iamgold-esg-performance-data-final_protected,399.3,t,reported in tonnes,False,1034000.0,,1034000.0,0.00038617021276595744,main_id
TECH-02884fb5-2023-11,2023,Material use,Flocculant,t,46.2,,QC-MAIN-02884fb5,,CMP-3d0a95b7,SRC_IAMGOLDCorporation_2023_iamgold-esg-performance-data-final_protected,46.2,t,reported in tonnes,False,1034000.0,,1034000.0,4.468085106382979e-05,main_id
TECH-02884fb5-2023-13,2023,Material use,Grease,t,4.5,,QC-MAIN-02884fb5,,CMP-3d0a95b7,SRC_IAMGOLDCorporation_2023_iamgold-esg-performance-data-final_protected,4.5,t,reported in tonnes,False,1034000.0,,1034000.0,4.352030947775629e-06,main_id
TECH-02884fb5-2023-14,2023,Material use,Hydraulic oil,t,200.2,,QC-MAIN-02884fb5,,CMP-3d0a95b7,SRC_IAMGOLDCorporation_2023_iamgold-esg-performance-data-final_protected,200.2,t,reported in tonnes,False,1034000.0,,1034000.0,0.00019361702127659573,main_id
TECH-02884fb5-2023-15,2023,Material use,Lime,t,5069.3,,QC-MAIN-02884fb5,,CMP-3d0a95b7,SRC_IAMGOLDCorporation_2023_iamgold-esg-performance-data-final_protected,5069.3,t,reported in tonnes,False,1034000.0,,1034000.0,0.004902611218568665,main_id
TECH-02884fb5-2023-16,2023,Material use,Motor/drill oil,t,18.9,,QC-MAIN-02884fb5,,CMP-3d0a95b7,SRC_IAMGOLDCorporation_2023_iamgold-esg-performance-data-final_protected,18.9,t,reported in tonnes,False,1034000.0,,1034000.0,1.827852998065764e-05,main_id
TECH-02884fb5-2023-19,2023,Material use,Sulfur dioxide,t,539.0,,QC-MAIN-02884fb5,,CMP-3d0a95b7,SRC_IAMGOLDCorporation_2023_iamgold-esg-performance-data-final_protected,539.0,t,reported in tonnes,False,1034000.0,,1034000.0,0.0005212765957446809,main_id
TECH-02884fb5-2023-20,2023,Material use,Transmission oil,t,8.1,,QC-MAIN-02884fb5,,CMP-3d0a95b7,SRC_IAMGOLDCorporation_2023_iamgold-esg-performance-data-final_protected,8.1,t,reported in tonnes,False,1034000.0,,1034000.0,7.833655705996132e-06,main_id
TECH-7607a50e-2023-8,2023,Material use,Total sodium cyanide used,t,1955.7,,ON-MAIN-7607a50e,,CMP-3a4ccc7f,SRC_AlamosGoldInc_Data_2023,1955.7,t,reported in tonnes,False,2878047.0,,2878047.0,0.0006795233017389918,main_id
