site_id,activity_name,functional_unit,Amount,Activity,Product,Unit,Location,Database
QC-MAIN-02884fb5,"Au and Ag, Underground mining and beneficiation at Westwood-Doyon","Ag, usable ore",6.6951217489671e-06,consumption market for lubricating oil,lubricating oil,kilogram,CA,Regioinvent
QC-MAIN-02884fb5,"Au and Ag, Underground mining and beneficiation at Westwood-Doyon","Au, usable ore",0.13733633363889566,consumption market for sodium cyanide,sodium cyanide,kilogram,CA,Regioinvent
QC-MAIN-02884fb5,"Au and Ag, Underground mining and beneficiation at Westwood-Doyon","Ag, usable ore",0.0017822414095750516,consumption market for sodium cyanide,sodium cyanide,kilogram,CA,Regioinvent
QC-MAIN-02884fb5,"Au and Ag, Underground mining and beneficiation at Westwood-Doyon","Au, usable ore",0.5102046514398644,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
QC-MAIN-02884fb5,"Au and Ag, Underground mining and beneficiation at Westwood-Doyon","Au, usable ore",0.5102046514398644,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
QC-MAIN-02884fb5,"Au and Ag, Underground mining and beneficiation at Westwood-Doyon","Ag, usable ore",0.006621029068278567,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
QC-MAIN-02884fb5,"Au and Ag, Underground mining and beneficiation at Westwood-Doyon","Ag, usable ore",0.006621029068278567,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
QC-MAIN-02884fb5,"Au and Ag, Underground mining and beneficiation at Westwood-Doyon","Au, usable ore",0.01589015430532677,consumption market for polyacrylamide,polyacrylamide,kilogram,CA,Regioinvent
QC-MAIN-02884fb5,"Au and Ag, Underground mining and beneficiation at Westwood-Doyon","Ag, usable ore",0.00020620974986818768,consumption market for polyacrylamide,polyacrylamide,kilogram,CA,Regioinvent
QC-MAIN-02884fb5,"Au and Ag, Underground mining and beneficiation at Westwood-Doyon","Au, usable ore",0.0015477423024668933,consumption market for lubricating oil,lubricating oil,kilogram,CA,Regioinvent
