site_id,activity_name,functional_unit,Amount,Activity,Product,Unit,Location,Database
QC-MAIN-e51eda66,"Au and Ag and Cu and Zn, UG mining and beneficiation at LaRonde",Ore processed,7.05651426191278e-08,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
QC-MAIN-e51eda66,"Au and Ag and Cu and Zn, UG mining and beneficiation at LaRonde",Ore processed,7.05651426191278e-08,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
QC-MAIN-e51eda66,"Au and Ag and Cu and Zn, UG mining and beneficiation at LaRonde",Ore processed,3.1785550685940564e-06,"consumption market for natural gas, high pressure","natural gas, high pressure",cubic meter,CA,Regioinvent
ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa",Ore processed,0.0004134052919095085,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-ON,ecoinvent-3.10-cutoff regionalized
ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa",Ore processed,4.8147057417089405e-06,consumption market for diesel,diesel,kilogram,CA,Regioinvent
ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa",Ore processed,6.233261169536612e-05,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa",Ore processed,6.233261169536612e-05,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa",Ore processed,3.2846237906158016e-07,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa",Ore processed,3.2846237906158016e-07,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa",Ore processed,2.1042984740197977e-05,"consumption market for natural gas, high pressure","natural gas, high pressure",cubic meter,CA,Regioinvent
ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa",Ore processed,3.211372248058965e-08,consumption market for propane,propane,kilogram,CA,Regioinvent
NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Ore processed,0.00024907201058523796,consumption market for diesel,diesel,kilogram,CA,Regioinvent
