main_id,facility_group_id,facility_name,facility_group_name,province,facility_type,mining_processing_type,commodities,ore_processed_t,Au_t,Ag_t,Cu_t,Ni_t,Co_t,Mo_t,Zn_t,Pb_t,Fe_t,Pt_t,Pd_t,U_t,Nb_t,Au_$,Ag_$,Cu_$,Ni_$,Co_$,Mo_$,Zn_$,Pb_$,Fe_$,Pt_$,U_$,N_$,Sum,%Au,%Cu,Main_product,facility_type.1,mining_processing_type.1,activity_name,site_id
QC-MAIN-649d2873,,Niobec Converter,,Quebec,manufacturing,Convertor,Ferroniobium,,,,,,,,,,,,,,11700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,921726.0,0.0,,,Nb,manufacturing,,"Nb, converting at Niobec Converter",QC-MAIN-649d2873
QC-MAIN-5ce331b8,,Nunavik Nickel,,Quebec,mining,"Open-pit, underground, concentrator","Nickel, copper, platinum group metals, cobalt",1082352.94117647,,,40926.0,58100.0,,,,,,,,,,0.0,0.0,282389.4,905779.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1188168.4,0.0,0.2376678255371882,Ni+Cu,mining,"Open-pit, underground, concentrator","Cu and Ni, Open-pit and underground mining and beneficiation at Nunavik Nickel",QC-MAIN-5ce331b8
QC-MAIN-a97821c0,,Raglan,,Quebec,mining,"Underground, concentrator","Nickel, platinum group metals, copper, cobalt, gold, silver",1500000.0,,,5488.0,24232.0,498.0,,,,,4.41607493,,,,0.0,0.0,37867.200000000004,377776.88,4650.876001094251,0.0,0.0,0.0,0,227157.55094853468,0.0,0.0,647452.5069496289,0.0,0.05848645204635223,Ni+PGM+Cu (Co),mining,"Underground, concentrator","Cu and Ni and Co and Pt, Underground mining and beneficiation at Raglan",QC-MAIN-a97821c0
ON-MAIN-0aadf28f,,Rainy River,,Ontario,mining,"Open-pit, underground, concentrator","Gold, silver",8764000.0,7.89235760749999,,,,,,,,,,,,,408769.94303352403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,408769.94303352403,1.0,0.0,Au,mining,"Open-pit, underground, concentrator","Au, Open-pit and underground mining and beneficiation at Rainy River",ON-MAIN-0aadf28f
BC-MAIN-8eb8be0d,,Red Chris,,British Columbia,mining,"Open-pit, concentrator","Gold, copper, silver",1139000.0,0.1555175,,3628.736,,,,,,,,,,,8054.738872362501,0.0,25038.2784,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,33093.0172723625,0.24339693192888107,0.7566030680711189,Cu+Au,mining,"Open-pit, concentrator","Au and Cu, Open-pit mining and beneficiation at Red Chris",BC-MAIN-8eb8be0d
ON-MAIN-7f050560,,Red Lake,,Ontario,mining,"Underground, concentrator","Gold, silver",841000.0,3.50536445,,,,,,,,,,,,,181553.81418305077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,181553.81418305077,1.0,0.0,Au,mining,"Underground, concentrator","Au, Underground mining and beneficiation at Red Lake",ON-MAIN-7f050560
NL-MAIN-b64bae7a,,Scully,,Newfoundland and Labrador,mining,"Open-pit, concentrator",Iron,3560000.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,Fe,mining,"Open-pit, concentrator",,NL-MAIN-b64bae7a
ON-MAIN-ed85ac94,GRP-de097f20,Strathcona,Integrated Nickel Operations,Ontario,mining,Concentrator,"Nickel, copper, platinum group metals, gold, silver, cobalt, selenium, tellurium",1025997.0,,,7154.0,7530.0,,,,,,,,,,0.0,0.0,49362.600000000006,117392.7,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,166755.3,0.0,0.29601817753318793,Ni+Cu,mining,Concentrator,"Cu and Ni, and beneficiation at Strathcona",ON-MAIN-ed85ac94
ON-MAIN-40ce0593,GRP-de097f20,Sudbury,Integrated Nickel Operations,Ontario,manufacturing,"Smelter, plant","Nickel-copper matte containing cobalt, gold, silver, platinum group metals",,,,13720.0,62251.0,,,,,,,,,,0.0,0.0,94668.0,970493.09,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1065161.0899999999,0.0,0.08887669751436378,Ni+Cu,manufacturing,"Smelter, plant","Cu and Ni, smelting at Sudbury",ON-MAIN-40ce0593
ON-MAIN-f4fc3276,,Sugar Zone,,Ontario,mining,"Underground, concentrator",Gold,234671.0,1.2024302065,,,,,,,,,,,,,62277.63001333238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,62277.63001333238,1.0,0.0,Au,mining,"Underground, concentrator","Au, Underground mining and beneficiation at Sugar Zone",ON-MAIN-f4fc3276
AB-MAIN-d3a4aba9,,The Cobalt Refinery Company Inc.,,Alberta,manufacturing,Refinery,"Nickel, cobalt, copper sulfide, ammonium sulfate",,,,,32268.0,3368.0,,,,,,,,,0.0,0.0,0.0,503058.12,31454.117212219753,0.0,0.0,0.0,0,0.0,0.0,0.0,534512.2372122197,0.0,0.0,Ni+Co,manufacturing,Refinery,"Ni and Co, refining at The Cobalt Refinery Company Inc.",AB-MAIN-d3a4aba9
MB-MAIN-e0a6250e,,Thompson (T-1 and T-3),,Manitoba,mining,"Open-pit, underground, concentrator","Nickel, cobalt, copper, platinum group metals, gold, silver",464705.882352941,,,4700.0,7900.0,,,,,,,,,,0.0,0.0,32430.0,123161.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,155591.0,0.0,0.20843107891844645,Cu+Ni,mining,"Open-pit, underground, concentrator","Cu and Ni, Open-pit and underground mining and beneficiation at Thompson (T-1 and T-3)",MB-MAIN-e0a6250e
ON-MAIN-28f3f0fc,GRP-dc07540b,Totten,Sudbury Operation,Ontario,mining,Underground,"Nickel, copper, platinum group metals, gold, silver, cobalt",414000.0,,,7783.0,6334.0,,,,,,,,,,0.0,0.0,53702.700000000004,98747.06,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,152449.76,0.0,0.35226490353280976,Ni+Cu,mining,Underground,"Cu and Ni, Underground mining at Totten",ON-MAIN-28f3f0fc
BC-MAIN-3bb6b7cd,,Trail,,British Columbia,manufacturing,Refinery,"Zinc, lead, bismuth, cadmium, indium, germanium, precious metals, liquid sulfur dioxide, sulfuric acid",,,,,,,,256000.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,660304.5220305456,0.0,0,0.0,0.0,0.0,660304.5220305456,0.0,0.0,Zn (Pb),manufacturing,Refinery,"Zn, refining at Trail",BC-MAIN-3bb6b7cd
QC-MAIN-02884fb5,,Westwood-Doyon,,Quebec,mining,"Underground, concentrator","Gold, silver",1034000.0,2.8926255,1.143178039,,,,,,,,,,,,149818.1430259425,768.3642553530699,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,150586.50728129558,0.994897522565433,0.0,Au (Ag),mining,"Underground, concentrator","Au and Ag, Underground mining and beneficiation at Westwood-Doyon",QC-MAIN-02884fb5
ON-MAIN-7607a50e,,Young-Davidson,,Ontario,mining,"Underground, concentrator",Gold,2878047.0,5.75725784999999,,,,,,,,,,,,,298186.4330548592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,298186.4330548592,1.0,0.0,Au,mining,"Underground, concentrator","Au, Underground mining and beneficiation at Young-Davidson",ON-MAIN-7607a50e
NL-MAIN-2d8801d6,,Voisey’s Bay,,Newfoundland and Labrador,mining,"Open-pit, underground, concentrator","Nickel, copper, cobalt",794117.647058823,,,9600.0,13500.0,,,,,,,,,,0.0,0.0,66240.0,210465.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,276705.0,0.0,0.2393885184582859,Cu+Ni,mining,"Open-pit, underground, concentrator","Cu and Ni, Open-pit and underground mining and beneficiation at Voisey’s Bay",NL-MAIN-2d8801d6
,GRP-0a2c0d69,,Meadowbank complex,Nunavut,mining,"Open-pit, underground",Gold,3842649.005728,13.4263118300476,3.8879375,,,,,,,,,,,,695390.7811657524,2613.199431875,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,698003.9805976275,0.996256182622859,0.0,Au (Ag),mining,"Open-pit, underground","Au and Ag, Open-pit and underground mining at Meadowbank complex",GRP-0a2c0d69
,GRP-0d911886,,Porcupine complex,Ontario,mining,"Open-pit, underground",Gold,2911000.0,8.08691,,,,,,,,,,,,,418846.42136285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,418846.42136285,1.0,0.0,Au,mining,"Open-pit, underground","Au, Open-pit and underground mining at Porcupine complex",GRP-0d911886
,GRP-147b3123,,Timmins Operation,Ontario,mining,"Underground, concentrator",Gold,1574000.0,1.2054783495,,,,,,,,,,,,,62435.50289523069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,62435.50289523069,1.0,0.0,Au,mining,"Underground, concentrator","Au, Underground mining and beneficiation at Timmins Operation",GRP-147b3123
,GRP-14bfbb82,,Seabee Gold Operation,Saskatchewan,mining,"Underground, concentrator",Gold,122000.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,Au,mining,"Underground, concentrator",,GRP-14bfbb82
,GRP-a13779f8,,Snow Lake,Manitoba,mining,"Underground, concentrator","Gold, zinc, copper, silver",2123641.0,5.8276450705,26.4915663305,12154.0,,,,34642.0,,,,,,,301832.00786849105,17805.776477718966,83862.6,0.0,0.0,0.0,89352.61426633658,0.0,0,0.0,0.0,0.0,492852.9986125466,0.6124179191730442,0.1701574307878526,Au+Zn+Cu+Ag,mining,"Underground, concentrator","Au and Ag and Cu and Zn, Underground mining and beneficiation at Snow Lake",GRP-a13779f8
