main_id,facility_group_id,Amount,Unit,Flow Name,Compartments,Database
,GRP-147b3123,1.2706480304955526e-15,kilogram,Thallium I,"('air',)",biosphere3
,GRP-147b3123,1.2706480304955526e-15,kilogram,Thallium I,"('air',)",biosphere3
,GRP-147b3123,1.2706480304955526e-15,kilogram,"('soil',)",emission,biosphere3
,GRP-147b3123,1.2706480304955526e-15,kilogram,Thallium I,"('water',)",biosphere3
,GRP-147b3123,1.2706480304955526e-15,kilogram,Thallium I,"('water',)",biosphere3
,GRP-147b3123,1.2706480304955526e-15,kilogram,Thallium I,"('air',)",biosphere3
,GRP-147b3123,1.2706480304955526e-15,kilogram,Thallium I,"('air',)",biosphere3
,GRP-147b3123,1.2706480304955526e-15,kilogram,Thallium I,"('air',)",biosphere3
,GRP-147b3123,1.2706480304955526e-15,kilogram,"('soil',)",emission,biosphere3
,GRP-147b3123,1.2706480304955526e-15,kilogram,Thallium I,"('water',)",biosphere3
,GRP-147b3123,1.2706480304955526e-15,kilogram,Thallium I,"('water',)",biosphere3
,GRP-147b3123,1.0800508259212194e-12,kilogram,Vanadium V,"('air',)",biosphere3
,GRP-147b3123,1.0800508259212194e-12,kilogram,Vanadium V,"('air',)",biosphere3
,GRP-147b3123,1.0800508259212194e-12,kilogram,Vanadium V,"('air',)",biosphere3
,GRP-147b3123,1.0800508259212194e-12,kilogram,Vanadium V,"('water',)",biosphere3
,GRP-147b3123,1.0800508259212194e-12,kilogram,Vanadium V,"('water',)",biosphere3
,GRP-147b3123,9.529860228716644e-13,kilogram,Vanadium V,"('air',)",biosphere3
,GRP-147b3123,9.529860228716644e-13,kilogram,Vanadium V,"('air',)",biosphere3
,GRP-147b3123,9.529860228716644e-13,kilogram,Vanadium V,"('air',)",biosphere3
,GRP-147b3123,9.529860228716644e-13,kilogram,Vanadium V,"('water',)",biosphere3
,GRP-147b3123,9.529860228716644e-13,kilogram,Vanadium V,"('water',)",biosphere3
,GRP-147b3123,2.4104193138500598e-08,kilogram,"Carbon dioxide, fossil","('air',)",biosphere3
,GRP-147b3123,2.6146169139513902e-08,kilogram,"Carbon dioxide, fossil","('air',)",biosphere3
,GRP-147b3123,1.1442185514612454e-08,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
,GRP-147b3123,1.1442185514612454e-08,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
,GRP-147b3123,1.1442185514612454e-08,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
,GRP-147b3123,1.1442185514612454e-08,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
,GRP-147b3123,1.1442185514612454e-08,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
,GRP-147b3123,1.5744599745870394e-08,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
,GRP-147b3123,1.5744599745870394e-08,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
,GRP-147b3123,1.5744599745870394e-08,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
,GRP-147b3123,1.5744599745870394e-08,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
,GRP-147b3123,1.5744599745870394e-08,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
,GRP-147b3123,5.433290978398984e-09,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
,GRP-147b3123,5.433290978398984e-09,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
,GRP-147b3123,5.433290978398984e-09,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
,GRP-147b3123,5.433290978398984e-09,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
,GRP-147b3123,5.433290978398984e-09,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
,GRP-147b3123,8.245235069885642e-09,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
,GRP-147b3123,8.245235069885642e-09,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
,GRP-147b3123,8.245235069885642e-09,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
,GRP-147b3123,8.245235069885642e-09,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
,GRP-147b3123,8.245235069885642e-09,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
,GRP-147b3123,3.22765567907344e-08,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
,GRP-147b3123,3.22765567907344e-08,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
,GRP-147b3123,3.22765567907344e-08,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
,GRP-147b3123,3.22765567907344e-08,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
,GRP-147b3123,3.22765567907344e-08,kilogram,"Particulate Matter, > 10 um","('air', 'low population density, long-term')",biosphere3
,GRP-147b3123,9.479034307496822e-10,kilogram,"Particulate Matter, < 2.5 um, CA-ON","('air', 'low population density long term')",biosphere3_spatialized_flows
,GRP-147b3123,9.479034307496822e-10,kilogram,"Particulate Matter, < 2.5 um, CA-ON","('air', 'low population density long term')",biosphere3_spatialized_flows
,GRP-147b3123,9.479034307496822e-10,kilogram,"Particulate Matter, < 2.5 um, CA-ON","('air', 'low population density long term')",biosphere3_spatialized_flows
,GRP-147b3123,9.479034307496822e-10,kilogram,"Particulate Matter, < 2.5 um, CA-ON","('air', 'low population density long term')",biosphere3_spatialized_flows
,GRP-147b3123,9.479034307496822e-10,kilogram,"Particulate Matter, < 2.5 um, CA-ON","('air', 'low population density long term')",biosphere3_spatialized_flows
,GRP-147b3123,2.8386277001270647e-09,kilogram,"Particulate Matter, < 2.5 um, CA-ON","('air', 'low population density long term')",biosphere3_spatialized_flows
,GRP-147b3123,2.8386277001270647e-09,kilogram,"Particulate Matter, < 2.5 um, CA-ON","('air', 'low population density long term')",biosphere3_spatialized_flows
,GRP-147b3123,2.8386277001270647e-09,kilogram,"Particulate Matter, < 2.5 um, CA-ON","('air', 'low population density long term')",biosphere3_spatialized_flows
,GRP-147b3123,2.8386277001270647e-09,kilogram,"Particulate Matter, < 2.5 um, CA-ON","('air', 'low population density long term')",biosphere3_spatialized_flows
,GRP-147b3123,2.8386277001270647e-09,kilogram,"Particulate Matter, < 2.5 um, CA-ON","('air', 'low population density long term')",biosphere3_spatialized_flows
,GRP-147b3123,3.86682433730901e-08,kilogram,"NMVOC, non-methane volatile organic compounds, CA-ON","('air', 'low population density long term')",biosphere3_spatialized_flows
,GRP-147b3123,3.86682433730901e-08,kilogram,"NMVOC, non-methane volatile organic compounds, CA-ON","('air', 'low population density long term')",biosphere3_spatialized_flows
