technosphere_id,year,flow_type,subflow_type,unit,value,comment,main_id,facility_group_id,company_id,source_id,value_MJ,unit_source,assumption_note,unit_standard,needs_factor,value_tonnes_main,value_tonnes_group,value_tonnes_match,value_normalized,normalization_key,subflow_type_agg
TECH-GRP-147b3123-2023-2,2023,Energy,Gasoline,GJ,2946.1,,,GRP-147b3123,CMP-48a36546,SRC_PanAmericanSilverCorp_ESG_data_2023,2946100.0,direct_unit,gj→MJ factor=1000.0,MJ,False,,1574000.0,1574000.0,1.871728081321474,facility_group_id,Gasoline
TECH-GRP-147b3123-2023-3,2023,Energy,Natural gas,GJ,159325.59885,,,GRP-147b3123,CMP-48a36546,SRC_PanAmericanSilverCorp_ESG_data_2023,159325598.85000002,direct_unit,gj→MJ factor=1000.0,MJ,False,,1574000.0,1574000.0,101.22337919313851,facility_group_id,Natural gas
TECH-GRP-147b3123-2023-4,2023,Energy,Ammonium nitrate,GJ,20.7,,,GRP-147b3123,CMP-48a36546,SRC_PanAmericanSilverCorp_ESG_data_2023,20700.0,direct_unit,gj→MJ factor=1000.0,MJ,False,,1574000.0,1574000.0,0.013151207115628972,facility_group_id,Explosives
TECH-GRP-147b3123-2023-5,2023,Energy,Emulsions,GJ,2026.3,,,GRP-147b3123,CMP-48a36546,SRC_PanAmericanSilverCorp_ESG_data_2023,2026300.0,direct_unit,gj→MJ factor=1000.0,MJ,False,,1574000.0,1574000.0,1.2873570520965691,facility_group_id,Explosives
TECH-GRP-147b3123-2023-6,2023,Energy,Dynamite,GJ,4889.799999999999,,,GRP-147b3123,CMP-48a36546,SRC_PanAmericanSilverCorp_ESG_data_2023,4889799.999999999,direct_unit,gj→MJ factor=1000.0,MJ,False,,1574000.0,1574000.0,3.106607369758576,facility_group_id,Explosives
TECH-GRP-147b3123-2023-7,2023,Energy,Electricity consumption,GJ,738226.8,,,GRP-147b3123,CMP-48a36546,SRC_PanAmericanSilverCorp_ESG_data_2023,738226800.0,direct_unit,gj→MJ factor=1000.0,MJ,False,,1574000.0,1574000.0,469.01321473951714,facility_group_id,Electricity
TECH-GRP-147b3123-2023-8,2023,Energy,Electricity consumption|Generated on-site,GJ,317437.52400000003,,,GRP-147b3123,CMP-48a36546,SRC_PanAmericanSilverCorp_ESG_data_2023,317437524.00000006,direct_unit,gj→MJ factor=1000.0,MJ,False,,1574000.0,1574000.0,201.6756823379924,facility_group_id,Electricity
TECH-GRP-14bfbb82-2023-1,2023,Energy,Diesel,GJ,131655.0,,,GRP-14bfbb82,CMP-4a73c5f8,SRC_SSRMiningInc_ESG_2023,131655000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,,122000.0,122000.0,1079.139344262295,facility_group_id,Diesel
TECH-GRP-14bfbb82-2023-2,2023,Energy,Propane,GJ,40177.0,,,GRP-14bfbb82,CMP-4a73c5f8,SRC_SSRMiningInc_ESG_2023,40177000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,,122000.0,122000.0,329.3196721311475,facility_group_id,LPG-Propane
TECH-GRP-14bfbb82-2023-3,2023,Energy,Other,GJ,10277.0,"Other types are electricity, diesel, natural gas, propane",,GRP-14bfbb82,CMP-4a73c5f8,SRC_SSRMiningInc_ESG_2023,10277000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,,122000.0,122000.0,84.23770491803279,facility_group_id,Other
