site_id,activity_name,mining_processing_type,archetypes,flow_type,subflow_type,value,unit,data_source,ore_processed_t,value_normalized,functional_unit,allocation_factor,normalization_key
GRP-0d911886,Open-pit and underground mining at Porcupine complex,"Open-pit, underground",Au–Ag free-milling,Material use,Lime,4346.921,t,MetalliCan,2911000.0,0.001493274132600481,Ore processed,1,ore
GRP-0d911886,Open-pit and underground mining at Porcupine complex,"Open-pit, underground",Au–Ag free-milling,Material use,Lubricants,545.0420799999999,t,MetalliCan,2911000.0,0.00018723534180693918,Ore processed,1,ore
GRP-0d911886,Open-pit and underground mining at Porcupine complex,"Open-pit, underground",Au–Ag free-milling,Material use,Nitric acid (HNO3),0.26425,t,MetalliCan,2911000.0,9.077636551013398e-08,Ore processed,1,ore
GRP-0d911886,Open-pit and underground mining at Porcupine complex,"Open-pit, underground",Au–Ag free-milling,Material use,Sodium cyanide (NaCN),734.521,t,MetalliCan,2911000.0,0.0002523260048093439,Ore processed,1,ore
GRP-0d911886,Open-pit and underground mining at Porcupine complex,"Open-pit, underground",Au–Ag free-milling,Material use,Sulfuric acid (H2SO4),0.009200000000000002,t,MetalliCan,2911000.0,3.1604259704568883e-09,Ore processed,1,ore
GRP-0d911886,Open-pit and underground mining at Porcupine complex,"Open-pit, underground",Au–Ag free-milling,Material use,Tires,626.983579787717,t,MetalliCan,2911000.0,0.00021538425963164444,Ore processed,1,ore
ON-MAIN-0aadf28f,Open-pit and underground mining and beneficiation at Rainy River,"Open-pit, underground, concentrator",Au–Ag free-milling,Material use,2.5'' balls,5977.02,t,MetalliCan,8764000.0,0.0006819968051118211,Ore processed,1,ore
ON-MAIN-0aadf28f,Open-pit and underground mining and beneficiation at Rainy River,"Open-pit, underground, concentrator",Au–Ag free-milling,Material use,5.5'' balls,2819.39,t,MetalliCan,8764000.0,0.00032170127795527157,Ore processed,1,ore
ON-MAIN-0aadf28f,Open-pit and underground mining and beneficiation at Rainy River,"Open-pit, underground, concentrator",Au–Ag free-milling,Material use,Anti-scalant,231.23982,t,MetalliCan,8764000.0,2.6385191693290736e-05,Ore processed,1,ore
ON-MAIN-0aadf28f,Open-pit and underground mining and beneficiation at Rainy River,"Open-pit, underground, concentrator",Au–Ag free-milling,Material use,Caustic soda,526.21,t,MetalliCan,8764000.0,6.004221816522137e-05,Ore processed,1,ore
ON-MAIN-0aadf28f,Open-pit and underground mining and beneficiation at Rainy River,"Open-pit, underground, concentrator",Au–Ag free-milling,Material use,Cyanide,2269.57,t,MetalliCan,8764000.0,0.0002589650844363305,Ore processed,1,ore
ON-MAIN-0aadf28f,Open-pit and underground mining and beneficiation at Rainy River,"Open-pit, underground, concentrator",Au–Ag free-milling,Material use,Explosives,14805.627,t,MetalliCan,8764000.0,0.0016893686672752168,Ore processed,1,ore
ON-MAIN-0aadf28f,Open-pit and underground mining and beneficiation at Rainy River,"Open-pit, underground, concentrator",Au–Ag free-milling,Material use,Flocculant,149.1,t,MetalliCan,8764000.0,1.7012779552715656e-05,Ore processed,1,ore
ON-MAIN-0aadf28f,Open-pit and underground mining and beneficiation at Rainy River,"Open-pit, underground, concentrator",Au–Ag free-milling,Material use,Lime,6390.4,t,MetalliCan,8764000.0,0.0007291647649475125,Ore processed,1,ore
