main_id,facility_type,facility_name,commodities,Archetype table,By-product ratios table,Climate category table,Conflict table,Energy table,Environmental intensity table,Environmental flows table,Land cover table,Land occupation table,Peatland table,Population table,Prioritize conservation areas table,Production table,Protected & Indigenous land table,Reserves table,Tailings table,Water risk table,Weather table
QC-MAIN-de3d8b7b,manufacturing,Canadian Electrolytic Zinc Limited (CEZinc),"Zinc, cadmium, liquid sulfur dioxide, sulfuric acid",0,0,9,0,0,0,0,1,4,1,4,1,0,148,0,0,32,128
QC-MAIN-529c96b4,manufacturing,CCR,"Copper (cathodes), gold, silver, tellurium, selenium, nickel sulfate, copper sulfate, platinum group metals",0,0,9,0,0,0,212,1,0,1,4,1,2,217,0,0,32,128
ON-MAIN-206041d1,mining,Fraser,"Nickel, copper, platinum group metals, gold, cobalt, silver",0,0,9,0,0,0,0,1,7,1,4,1,0,22,0,0,32,128
QC-MAIN-abb3e1c7,manufacturing,General Smelting Company of Canada,Recycled lead,0,0,9,0,0,0,0,1,0,1,4,1,0,217,0,0,32,128
QC-MAIN-30c1828c,manufacturing,Horne,"Copper anodes, precious metals, sulfuric acid",0,0,9,0,0,0,220,1,1,1,4,1,2,57,0,5,32,128
ON-MAIN-f8313ebd,mining,Kidd Creek,"Copper, zinc, silver, selenium, indium",1,3,9,0,0,0,1,1,6,1,4,1,2,11,30,0,32,128
ON-MAIN-fcb287a4,mining,Nickel Rim South,"Nickel, copper, cobalt, platinum group metals, gold",0,0,9,0,0,0,128,1,2,1,4,1,0,16,0,2,32,128
ON-MAIN-319e04a8,advanced project,Onaping Depth,"Nickel, copper, cobalt, platinum, palladium, rhodium, gold, silver",0,0,9,0,0,0,0,1,8,1,4,1,0,23,0,0,32,128
QC-MAIN-a97821c0,mining,Raglan,"Nickel, platinum group metals, copper, cobalt, gold, silver",1,4,9,0,0,0,269,1,3,1,4,1,7,3,16,1,32,128
ON-MAIN-ed85ac94,mining,Strathcona,"Nickel, copper, platinum group metals, gold, silver, cobalt, selenium, tellurium",0,0,9,0,0,0,0,1,3,1,4,1,0,22,0,0,32,128
ON-MAIN-40ce0593,manufacturing,Sudbury,"Nickel-copper matte containing cobalt, gold, silver, platinum group metals",0,0,9,0,0,0,300,1,9,1,4,1,0,15,0,1,32,128
BC-MAIN-4724f4ba,mining,Elk,Gold,0,0,9,0,0,0,0,1,2,1,4,1,6,52,3,0,32,128
YT-MAIN-956d050a,advanced project,Carmacks,"Copper, gold, silver, molybdenum",0,0,9,0,0,0,0,1,0,1,4,1,0,5,0,0,32,128
ON-MAIN-97ee890f,advanced project,Seymour Lake,Lithium (spodumene),0,0,9,0,0,0,0,1,0,1,4,1,0,6,0,0,32,128
MB-MAIN-27a90834,advanced project,Makwa Mayville,"Nickel, copper, gold, platinum, palladium, cobalt",0,0,9,0,0,0,0,1,0,1,4,1,0,8,0,0,32,128
SK-MAIN-fbe28fef,advanced project,Kindersley Lithium,Lithium (brine),0,0,9,0,0,0,0,1,0,1,4,1,0,20,0,0,32,128
BC-MAIN-b031959a,advanced project,Turnagain,"Nickel, cobalt, platinum, palladium",0,0,9,0,0,0,0,1,0,1,4,1,0,1,0,0,32,128
QC-MAIN-b86f7d07,mining,Casa Berardi,"Gold, silver",1,0,9,0,5,0,2,1,2,1,4,1,3,29,15,4,32,128
YT-MAIN-44857446,mining,Keno Hill Silver District,"Silver, zinc, lead",1,0,9,0,5,0,2,1,14,1,4,1,2,2,10,0,32,128
YT-MAIN-c3105f43,advanced project,Rackla Gold,"Gold, tungsten",0,0,9,0,0,0,0,1,0,1,4,1,0,2,0,0,32,128
ON-MAIN-fc6f1a44,manufacturing,Ivaco Rolling Mills,Steel,0,0,9,0,0,0,166,1,0,1,4,1,1,95,0,0,32,128
MB-MAIN-e2e67f8f,advanced project,1901,"Gold, zinc, copper, silver",0,0,9,0,0,0,0,1,9,1,4,1,0,0,0,0,32,128
BC-MAIN-599152a0,mining,Copper Mountain,"Copper, gold, silver",1,0,9,0,2,0,187,1,4,1,4,1,16,34,16,0,32,128
MB-MAIN-be5b3dc8,mining,Lalor Lake,"Gold, zinc, copper, silver",0,0,9,0,0,0,0,1,5,1,4,1,5,0,10,0,32,128
MB-MAIN-da0b5c3d,mining,New Britannia,"Gold, copper",0,0,9,0,0,0,58,1,5,1,4,1,21,0,0,0,32,128
