Commodity,Climate change HH LT (DALY),Climate change HH ST (DALY),Human toxicity cancer LT (DALY),Human toxicity cancer ST (DALY),Human toxicity non-cancer LT (DALY),Human toxicity non-cancer ST (DALY),Ionizing radiations HH (DALY),Ozone layer depletion (DALY),Particulate matter formation (DALY),Photochemical ozone HH (DALY),Water availability HH (DALY)
LaRonde,5.931540140140306e-11,2.0465025887215858e-11,5.908989950765786e-14,1.708260801761786e-12,1.7715585496840032e-12,8.663041320571031e-13,9.268327135560895e-14,7.874668678576258e-16,2.657445497146715e-11,4.89013733136362e-14,1.0123053033842805e-12
Macassa,2.189394875640836e-09,7.392263708756244e-10,3.2446554137193464e-12,5.105947085281863e-11,7.796065935410288e-11,3.8256094271468127e-11,1.1522040072574655e-11,1.0096922981514044e-14,6.828867504946928e-10,2.658420044648432e-12,6.028267466120796e-11
Meliadine,8.619035855814176e-10,3.264826356877105e-10,8.197186767925232e-13,2.1424899414869938e-11,1.9244318978186693e-11,7.690383889668081e-12,9.101342099825507e-14,3.069161623222934e-14,2.4742283214525895e-10,2.2087577841629615e-12,8.601808241450736e-12
Musselwhite,1.1897557983840582e-10,4.0193025622653776e-11,3.180582918349856e-13,3.480123390940885e-12,6.739248435699572e-12,3.483355925943474e-12,3.772748362465597e-12,2.3237281108358312e-15,9.572104604068062e-11,1.6384642323850324e-12,1.7104803695359113e-12
New Afton,7.734876849701059e-11,2.822626383793388e-11,1.0489125022617987e-13,4.21016230628805e-12,2.2388820199953806e-12,8.681068081643215e-13,1.1192586044131205e-14,2.3348365529315646e-15,1.847522628811407e-11,4.115856898047098e-14,8.171634344328903e-13
Rainy River,1.4115635199686214e-10,4.645438376741869e-11,1.88521310562484e-13,7.401030559848241e-12,5.2230941762526456e-12,2.003489009333695e-12,2.5309826860211373e-12,1.080996247662521e-15,3.795011775615968e-11,8.436669952517519e-14,3.1340567337063726e-12
Red Chris,2.2560659313570694e-10,7.623736854007639e-11,3.300571884791192e-11,7.265683414754567e-10,7.615072822846943e-12,4.043477576004835e-12,7.110466110802396e-14,4.778245429831362e-15,9.834365283545026e-11,1.1386797868466033e-12,2.024915317713688e-12
Red Lake,2.3235504648569764e-10,7.74728972501351e-11,1.4506873820957969e-12,6.9493215313426345e-12,2.7996637178444162e-11,2.470740634820835e-11,8.033018561030191e-12,4.242834919265533e-15,1.7106753728013002e-10,1.2047112241055656e-13,3.2017437335713596e-12
Westwood-Doyon,1.4968886107271994e-10,5.070958854921258e-11,1.47404668794155e-13,3.709392846914818e-12,4.536320013990116e-12,2.228154390796059e-12,9.477582245914162e-14,1.1703622610832633e-15,9.928055203560105e-11,6.543388797787588e-14,3.370656249858394e-12
Young-Davidson,6.580718569290803e-11,2.099875038978686e-11,1.5876714876047138e-13,1.5612720796338703e-12,2.6337003828623713e-12,1.0782411886618801e-12,2.5300142007146534e-12,7.22092511475181e-16,1.4086092836669126e-11,1.0500861951596908e-13,1.0650919293309452e-12
Meadowbank complex,6.346823147712428e-10,2.3723058904929104e-10,8.44732066049023e-13,1.5690654103851236e-11,1.7456287793071583e-11,7.935947000874823e-12,7.334811837716296e-14,2.0337657774920026e-14,2.4928089278348833e-10,4.491843130562935e-12,7.467179265005586e-12
Porcupine complex,1.4619902454300246e-10,5.305082197782865e-11,3.758034587211173e-13,4.138142988145214e-12,8.248488710017345e-12,1.2147718815234106e-11,1.893560416237293e-12,4.486526551261967e-15,3.5395516388405434e-11,1.1076187552663119e-13,1.5098678020916775e-12
Timmins Operation,1.2743267011137446e-10,4.23975225214615e-11,8.34669445545031e-11,4.36706148744283e-11,1.057613041102784e-09,7.21404933373353e-10,3.5494162058086455e-12,1.4021342513785796e-15,3.7558112237100175e-11,2.692784204739964e-13,2.753382174564031e-12
Seabee Gold Operation,1.9766375878208797e-09,5.914364128266937e-10,1.618507872932074e-12,1.2093830657229337e-11,4.2005047659706216e-11,8.074231114796108e-12,5.3378828306435743e-14,1.067285455616438e-14,3.115271264141135e-10,1.008095120292541e-12,4.157017221175656e-12
Snow Lake,9.29273639611444e-11,2.938955876348121e-11,7.38080309334363e-13,1.9952408046481386e-12,1.3831369438088295e-11,8.742568152883973e-12,2.6748315796613912e-14,8.75179256202594e-16,6.508304078178463e-10,2.335728052675408e-14,1.4321190344891367e-12
