Commodity,Climate change ST (kg CO2 eq (short)),Land occupation biodiversity (m2 arable land eq .yr),Land transformation biodiversity (m2 arable land eq),Particulate matter formation (kg PM2.5 eq),Water scarcity (m3 world-eq),Source,Reference product,site_id,ore_processed_t,dore_t_mass,conc_t_mass
Eleonore,22997.765706798644,117.589532704028,9.82420004796768,408.278768859112,4967.915461769211,MetalliCan,Doré,QC-MAIN-6dc537e6,1661000.0,7.738899920918366,
Nunavik Nickel,0.7391853841945383,0.0,0.0,0.0010894947523787,0.0,MetalliCan,Ni concentrate,QC-MAIN-5ce331b8,6835294.11764705,,363125.0
Thompson,0.4787638716775735,0.0953987574751558,0.0079702375778889,0.0014353787002354,0.0,MetalliCan,Ni concentrate,MB-MAIN-e0a6250e,464705.882352941,,49375.0
Voisey's Bay,2.098657144112916,0.0357325936378127,0.0029853351513392,0.0077512479071753,0.0,MetalliCan,Ni concentrate,NL-MAIN-2d8801d6,794117.647058823,,84375.0
Raglan,1.081684881813265,0.0102912874339572,0.0008598015719374,0.003141189278395,0.0,MetalliCan,Ni concentrate,QC-MAIN-a97821c0,1500000.0,,151450.0
Gibraltar (Mo),3.5162978850793363,0.3164916100495674,0.0264417816865902,0.0112986161470002,5.2340647491110985,MetalliCan,Mo concentrate,BC-MAIN-6b4800fe,30000000.0,,186436.98475294118
Highland Valley (Mo),3.044349892924185,0.4889172014471121,0.0408473442063428,0.080641428301887,10.785998047241948,MetalliCan,Mo concentrate,BC-MAIN-bf503b6b,17408000.0,,343098.0392156863
Kidd Creek (Zn),0.1235427311203175,0.0094915331041686,0.0007929848427233,0.0004163448218189,0.0,MetalliCan,Zn concentrate,ON-MAIN-f8313ebd,1340000.0,,152533.33333333334
LaRonde (Zn),0.2141231711516301,0.0149185502671067,0.0012463934406357,0.0002194810608949,0.1647500932524632,MetalliCan,Zn concentrate,QC-MAIN-e51eda66,1501500.0,9.802902790306113,23998.078284
Snow Lake (Zn),0.0278012548268456,0.0023267704835412,0.0001943936519719,0.0002549103922608,0.0,MetalliCan,Zn concentrate,GRP-a13779f8,2123641.0,32.97878714387755,109797.33333333334
Key Lake + McArthur River,8.122988330604988,1.004204963812079,0.0838978578604816,0.0086434546914803,0.0,MetalliCan,U concentrate,GRP-21eee27d,98408.8710325432,,
Cigar Lake + McClean Lake,4.287157644365793,0.3709454149369762,0.0309912109139043,0.0065480809683326,0.0,MetalliCan,U concentrate,GRP-91aaa60b,43726.856187782,,
