Commodity,Climate change ST (kg CO2 eq (short)),Land occupation biodiversity (m2 arable land eq .yr),Land transformation biodiversity (m2 arable land eq),Particulate matter formation (kg PM2.5 eq),Water scarcity (m3 world-eq),Source,Reference product,site_id,ore_processed_t,dore_t_mass,conc_t_mass
Timmins Operation,2502.691096554505,54.81937133428052,0.2106243545810743,1.4636561970137987,892.3227232937643,MetalliCan,Doré,GRP-147b3123,1574000.0,4.218015459183674,
Westwood-Doyon,8797.918754471924,1523.3572928531053,1.7463806945942295,5.120905993499912,29140.836678028107,MetalliCan,Doré,QC-MAIN-02884fb5,1034000.0,4.118166876530612,
Eleonore,8001.776732272537,1320.3987830089693,1.5676387529049762,3.7502389404425944,25116.51397664845,MetalliCan,Doré,QC-MAIN-6dc537e6,1661000.0,7.738899920918366,
Nunavik Nickel,0.0,0.0,0.0,0.0,0.0,MetalliCan,Ni concentrate,QC-MAIN-5ce331b8,6835294.11764705,,363125.0
Thompson,0.0,0.0,0.0,0.0,0.0,MetalliCan,Ni concentrate,MB-MAIN-e0a6250e,464705.882352941,,49375.0
Voisey's Bay,0.0,0.0,0.0,0.0,0.0,MetalliCan,Ni concentrate,NL-MAIN-2d8801d6,794117.647058823,,84375.0
Raglan,0.0,0.0,0.0,0.0,0.0,MetalliCan,Ni concentrate,QC-MAIN-a97821c0,1500000.0,,151450.0
Gibraltar (Mo),1.5922954735575088,0.06507351787056358,0.00037286133795407097,0.0006564356902062753,9.964677044951486,MetalliCan,Mo concentrate,BC-MAIN-6b4800fe,30000000.0,,186436.98475294118
Highland Valley (Mo),0.0,0.0,0.0,0.0,0.0,MetalliCan,Mo concentrate,BC-MAIN-bf503b6b,17408000.0,,343098.0392156863
Kidd Creek (Zn),0.0,0.0,0.0,0.0,0.0,MetalliCan,Zn concentrate,ON-MAIN-f8313ebd,1340000.0,,152533.33333333334
LaRonde (Zn),0.16023965910598068,0.07899691315188465,6.278584933901176e-05,6.67796851927558e-05,1.5245561915472763,MetalliCan,Zn concentrate,QC-MAIN-e51eda66,1501500.0,9.802902790306113,23998.078284
Snow Lake (Zn),0.037406205238391256,0.002658400987661716,5.4940493900492084e-06,1.8445999186280753e-05,0.25906550877515144,MetalliCan,Zn concentrate,GRP-a13779f8,2123641.0,32.97878714387755,109797.33333333334
Key Lake + McArthur River,0.0,0.0,0.0,0.0,0.0,MetalliCan,U concentrate,GRP-21eee27d,98408.8710325432,,
Cigar Lake + McClean Lake,0.0,0.0,0.0,0.0,0.0,MetalliCan,U concentrate,GRP-91aaa60b,43726.856187782,,
