Activity,Flow Name,Flow Location,LCIA Method,Unit,Absolute Contribution,Percentage Contribution
Cadmium,market for cadmium sludge from zinc electrolysis,GLO,Total HH,DALY,7.3003275149731e-05,96.5225581862745
Cadmium,"market for chemical factory, organics",GLO,Total HH,DALY,1.34195206718869e-06,1.774285416958981
Cadmium,"market for electricity, medium voltage",CA-QC,Total HH,DALY,1.1498857413770385e-06,1.52034156210102
Cadmium,market for sulfuric acid,RoW,Total HH,DALY,1.3826904225624033e-07,0.1828148346655045
Copper concentrate CA,market for blasting,GLO,Total EQ,PDF.m2.yr,8.543412459541937,75.49818062494583
Copper concentrate CA,"market for non-sulfidic tailing, off-site",GLO,Total EQ,PDF.m2.yr,1.311796208758139,11.592349963313273
Copper concentrate CA,"market for steel, chromium steel 18/8, hot rolled",GLO,Total EQ,PDF.m2.yr,0.5934056269828181,5.243928631792884
Copper concentrate CA,"market group for electricity, high voltage",CA,Total EQ,PDF.m2.yr,0.19714588571387748,1.7421792240017027
Copper concentrate CA,"market for mine infrastructure, open cast, non-ferrous metal",GLO,Total EQ,PDF.m2.yr,0.1706642168990468,1.5081605780683567
Copper concentrate CA,"market for sulfidic tailings, from copper mine operation",CA,Total EQ,PDF.m2.yr,0.11142825247758709,0.9846920504088583
Copper concentrate CA,market for aluminium hydroxide factory,GLO,Total EQ,PDF.m2.yr,0.08423308098156541,0.7443681775470411
Copper concentrate CA,"market for chemical, inorganic",GLO,Total EQ,PDF.m2.yr,0.07644906797533006,0.6755808138659958
Copper concentrate CA,"market for mine infrastructure, underground, non-ferrous metal",GLO,Total EQ,PDF.m2.yr,0.07436346391684956,0.6571503198842359
Copper concentrate CA,"market group for electricity, medium voltage",CA,Total EQ,PDF.m2.yr,0.07426040108625812,0.6562395531108232
Copper concentrate CA,"market for chemical, organic",GLO,Total EQ,PDF.m2.yr,0.051572908026261584,0.455750058183329
Copper concentrate CA,market for sodium cyanide,RoW,Total EQ,PDF.m2.yr,0.010453296293559438,0.09237583406332944
Copper concentrate CA,market for conveyor belt,GLO,Total EQ,PDF.m2.yr,0.010309430963108154,0.09110449538507712
Copper concentrate CA,"market for lime, packed",RoW,Total EQ,PDF.m2.yr,0.006237762605358455,0.055123140794742245
Copper concentrate CA,"market for diesel, burned in building machine",GLO,Total EQ,PDF.m2.yr,0.00029901950503123854,0.0026424369311604965
Copper concentrate CA,market for copper sulfate,GLO,Total EQ,PDF.m2.yr,1.3624787237655198e-05,0.00012040231613728045
Copper concentrate CA,market for dithiocarbamate-compound,GLO,Total EQ,PDF.m2.yr,3.5487877624742886e-06,3.1360656032899335e-05
Copper concentrate CA,market for synthetic rubber,GLO,Total EQ,PDF.m2.yr,1.4873376984166418e-06,1.314361102628673e-05
Copper concentrate CA,market for iron pellet,GLO,Total EQ,PDF.m2.yr,3.439120622946886e-07,3.03915269468497e-06
Copper concentrate CA,market for carbon disulfide,GLO,Total EQ,PDF.m2.yr,3.172311587458093e-07,2.803373410363954e-06
Copper concentrate CA,"market for aluminium sulfate, powder",RoW,Total EQ,PDF.m2.yr,2.1062756579269518e-07,1.8613169014272505e-06
Copper concentrate CA,market for diesel,RoW,Total EQ,PDF.m2.yr,1.5845054801688115e-07,1.4002283222249508e-06
Copper concentrate CA,market for potassium carbonate,GLO,Total EQ,PDF.m2.yr,9.850488197060416e-09,8.70488157592052e-08
Copper concentrate CA,"market for steel, chromium steel 18/8, hot rolled",GLO,Total HH,DALY,3.6248983713070104e-06,27.22002872517671
Copper concentrate CA,market for blasting,GLO,Total HH,DALY,2.9855339161892206e-06,22.418923410908796
Copper concentrate CA,"market group for electricity, high voltage",CA,Total HH,DALY,2.5277680637806786e-06,18.981475412201807
Copper concentrate CA,"market for mine infrastructure, open cast, non-ferrous metal",GLO,Total HH,DALY,1.1609918682645023e-06,8.71810152086048
Copper concentrate CA,"market group for electricity, medium voltage",CA,Total HH,DALY,9.467598525477995e-07,7.109393903615323
Copper concentrate CA,"market for chemical, inorganic",GLO,Total HH,DALY,6.555959400035163e-07,4.922990520302654
Copper concentrate CA,"market for mine infrastructure, underground, non-ferrous metal",GLO,Total HH,DALY,4.7490404885152536e-07,3.5661418686285153
Copper concentrate CA,"market for chemical, organic",GLO,Total HH,DALY,4.6440054920646633e-07,3.4872691575157067
Copper concentrate CA,market for aluminium hydroxide factory,GLO,Total HH,DALY,2.3359932953287878e-07,1.754140339601935
Copper concentrate CA,market for conveyor belt,GLO,Total HH,DALY,1.0385144308668505e-07,0.7798395911859353
Copper concentrate CA,market for sodium cyanide,RoW,Total HH,DALY,9.78430557417719e-08,0.7347215052790042
Copper concentrate CA,"market for lime, packed",RoW,Total HH,DALY,3.7960027829525884e-08,0.2850488322947493
Copper concentrate CA,"market for diesel, burned in building machine",GLO,Total HH,DALY,2.8194401656042452e-09,0.02117169488230174
Copper concentrate CA,market for copper sulfate,GLO,Total HH,DALY,5.1127724338771885e-11,0.0003839274877801581
Copper concentrate CA,market for dithiocarbamate-compound,GLO,Total HH,DALY,2.7316142184769322e-11,0.0002051219368840776
Copper concentrate CA,market for synthetic rubber,GLO,Total HH,DALY,1.4242601025857268e-11,0.00010695031124563114
Copper concentrate CA,market for carbon disulfide,GLO,Total HH,DALY,2.5714866107324286e-12,1.9309766023952265e-05
Copper concentrate CA,market for iron pellet,GLO,Total HH,DALY,2.056607633931466e-12,1.544344506735715e-05
Copper concentrate CA,"market for aluminium sulfate, powder",RoW,Total HH,DALY,1.7789112239958933e-12,1.3358171638684648e-05
Copper concentrate CA,market for diesel,RoW,Total HH,DALY,1.1636536679394487e-12,8.738089464298074e-06
Copper concentrate CA,market for potassium carbonate,GLO,Total HH,DALY,8.900278747830561e-14,6.68338304587213e-07
Copper concentrate CA,"market for sulfidic tailings, from copper mine operation",CA,Total HH,DALY,0.0,0.0
Copper concentrate CA,"market for non-sulfidic tailing, off-site",GLO,Total HH,DALY,-4.364438077209814e-20,-3.2773368426345983e-13
Copper concentrate CA (gold),"market for cement, Portland",CA-QC,Total EQ,PDF.m2.yr,0.20465994694022904,17.736970927608162
Copper concentrate CA (gold),"market for electricity, high voltage",CA-QC,Total EQ,PDF.m2.yr,0.15378938599751987,13.328244774779316
Copper concentrate CA (gold),"market for diesel, burned in building machine",GLO,Total EQ,PDF.m2.yr,0.13634950278213734,11.81680735775281
Copper concentrate CA (gold),market for chromium,GLO,Total EQ,PDF.m2.yr,0.1299736378180421,11.264239387335325
Copper concentrate CA (gold),"market for heat, district or industrial, natural gas",CA-QC,Total EQ,PDF.m2.yr,0.07091839745005721,6.146183328052893
Copper concentrate CA (gold),market for copper sulfate,GLO,Total EQ,PDF.m2.yr,0.06939415061992837,6.014083607923533
Copper concentrate CA (gold),"market for hydrogen peroxide, without water, in 50% solution state",RoW,Total EQ,PDF.m2.yr,0.05846329268726886,5.066754576210163
Copper concentrate CA (gold),"market for steel, unalloyed",GLO,Total EQ,PDF.m2.yr,0.05112029208544611,4.430369244624122
Copper concentrate CA (gold),market for sodium cyanide,RoW,Total EQ,PDF.m2.yr,0.049788764545233274,4.314971651576948
Copper concentrate CA (gold),"market for mine infrastructure, underground, non-ferrous metal",GLO,Total EQ,PDF.m2.yr,0.03395886942246269,2.9430647700527954
Copper concentrate CA (gold),"market for quicklime, milled, loose",RoW,Total EQ,PDF.m2.yr,0.03383114610311281,2.9319955557978536
Copper concentrate CA (gold),"market for sulfidic tailings, generic",GLO,Total EQ,PDF.m2.yr,0.01859729621621384,1.6117452742985305
Copper concentrate CA (gold),"market for sodium silicate, spray powder, 80%",RoW,Total EQ,PDF.m2.yr,0.018403860914499595,1.594981093645827
Copper concentrate CA (gold),"market for carboxymethyl cellulose, powder",GLO,Total EQ,PDF.m2.yr,0.017649706899810064,1.529621906206021
Copper concentrate CA (gold),"market for oxygen, liquid",RoW,Total EQ,PDF.m2.yr,0.017263874383072503,1.4961835112752404
Copper concentrate CA (gold),"market for soda ash, dense",GLO,Total EQ,PDF.m2.yr,0.013279636946736834,1.150887303426557
Copper concentrate CA (gold),market for ammonium nitrate,RNA,Total EQ,PDF.m2.yr,0.013023968904837459,1.1287296868822114
Copper concentrate CA (gold),market for zinc,GLO,Total EQ,PDF.m2.yr,0.011831804988134546,1.0254101216832692
Copper concentrate CA (gold),"market for lime, hydrated, loose weight",RoW,Total EQ,PDF.m2.yr,0.010785271752770241,0.9347117224705815
Copper concentrate CA (gold),"market for sulfur dioxide, liquid",RoW,Total EQ,PDF.m2.yr,0.00874506210385448,0.7578957906282217
Copper concentrate CA (gold),market for zinc monosulfate,RoW,Total EQ,PDF.m2.yr,0.007480821614028829,0.6483296681465641
Copper concentrate CA (gold),market for soap,GLO,Total EQ,PDF.m2.yr,0.004228875357496834,0.36649789269370747
Copper concentrate CA (gold),"market for transport, passenger car, large size, petrol, EURO 3",GLO,Total EQ,PDF.m2.yr,0.0026399170599761402,0.22878991636682386
Copper concentrate CA (gold),"market for borax, anhydrous, powder",GLO,Total EQ,PDF.m2.yr,0.0024433077156507687,0.21175065550249036
Copper concentrate CA (gold),market for waste mineral oil,RoW,Total EQ,PDF.m2.yr,0.0023921012811478,0.20731282067616316
Copper concentrate CA (gold),"market for chemical, inorganic",GLO,Total EQ,PDF.m2.yr,0.0018700107779172344,0.16206554969897807
Copper concentrate CA (gold),market for sodium nitrate,GLO,Total EQ,PDF.m2.yr,0.0015767250396687461,0.1366477740639889
Copper concentrate CA (gold),market for manganese dioxide,GLO,Total EQ,PDF.m2.yr,0.0015436395836590981,0.13378040416507472
Copper concentrate CA (gold),"market for aluminium sulfate, powder",RoW,Total EQ,PDF.m2.yr,0.0013405743559573582,0.11618164048902536
Copper concentrate CA (gold),"treatment of municipal solid waste, sanitary landfill",RoW,Total EQ,PDF.m2.yr,0.0013168827977514416,0.11412839809641007
Copper concentrate CA (gold),"market for carbon dioxide, liquid",RoW,Total EQ,PDF.m2.yr,0.001097989289909417,0.09515786750221397
Copper concentrate CA (gold),market for iron sulfate,RoW,Total EQ,PDF.m2.yr,0.0010890127434578527,0.0943799099886795
Copper concentrate CA (gold),market for fatty alcohol,GLO,Total EQ,PDF.m2.yr,0.0009371331615898176,0.08121717947708912
Copper concentrate CA (gold),market for polyacrylamide,GLO,Total EQ,PDF.m2.yr,0.0004968659982817672,0.04306117488154397
Copper concentrate CA (gold),"market for phosphoric acid, industrial grade, without water, in 85% solution state",GLO,Total EQ,PDF.m2.yr,0.00047982489724719766,0.041584298149464745
Copper concentrate CA (gold),"market for polycarboxylates, 40% active substance",RoW,Total EQ,PDF.m2.yr,0.0004436767546620948,0.03845149877320841
Copper concentrate CA (gold),"market for diesel, low-sulfur",RoW,Total EQ,PDF.m2.yr,0.0003898455332998199,0.03378618529797742
Copper concentrate CA (gold),"market for waste wood, untreated",RoW,Total EQ,PDF.m2.yr,0.00014299482876244183,0.012392728320693172
Copper concentrate CA (gold),"market for waste plastic, mixture",RoW,Total EQ,PDF.m2.yr,3.0069722618959753e-05,0.0026060096460862195
Copper concentrate CA (gold),market for lubricating oil,RoW,Total EQ,PDF.m2.yr,2.9669453965691095e-05,0.002571320135156499
Copper concentrate CA (gold),market for synthetic rubber,GLO,Total EQ,PDF.m2.yr,2.7276541289549462e-05,0.0023639369944708196
Copper concentrate CA (gold),market for silica sand,GLO,Total EQ,PDF.m2.yr,2.4780266816683768e-05,0.0021475959447710457
Copper concentrate CA (gold),market for scrap aluminium,RoW,Total EQ,PDF.m2.yr,1.0892246605270806e-05,0.0009439827590224567
Copper concentrate CA (gold),"electronics scrap, Recycled Content cut-off",GLO,Total EQ,PDF.m2.yr,0.0,0.0
Copper concentrate CA (gold),"iron scrap, sorted, pressed, Recycled Content cut-off",GLO,Total EQ,PDF.m2.yr,0.0,0.0
Copper concentrate CA (gold),"market for electricity, high voltage",CA-QC,Total HH,DALY,2.8926147716094863e-06,25.560859780592715
Copper concentrate CA (gold),"market for cement, Portland",CA-QC,Total HH,DALY,1.8245328873672163e-06,16.122654754032176
Copper concentrate CA (gold),"market for diesel, burned in building machine",GLO,Total HH,DALY,1.2856327371151392e-06,11.360613395628528
Copper concentrate CA (gold),market for chromium,GLO,Total HH,DALY,1.0936426530693216e-06,9.66407514043985
Copper concentrate CA (gold),"market for heat, district or industrial, natural gas",CA-QC,Total HH,DALY,6.623801619379356e-07,5.853183979739289
Copper concentrate CA (gold),"market for steel, unalloyed",GLO,Total HH,DALY,5.011972626820123e-07,4.428876281615472
Copper concentrate CA (gold),market for sodium cyanide,RoW,Total HH,DALY,4.660238003312401e-07,4.118062706309765
Copper concentrate CA (gold),"market for hydrogen peroxide, without water, in 50% solution state",RoW,Total HH,DALY,4.6504268381092704e-07,4.109392978819509
Copper concentrate CA (gold),"market for quicklime, milled, loose",RoW,Total HH,DALY,3.2806076514372387e-07,2.898939499187747
Copper concentrate CA (gold),market for copper sulfate,GLO,Total HH,DALY,2.604051675620706e-07,2.3010945112792385
Copper concentrate CA (gold),"market for mine infrastructure, underground, non-ferrous metal",GLO,Total HH,DALY,2.1687000219866715e-07,1.916391968686711
Copper concentrate CA (gold),"market for oxygen, liquid",RoW,Total HH,DALY,1.7470589756864022e-07,1.5438049319335645
Copper concentrate CA (gold),"market for sodium silicate, spray powder, 80%",RoW,Total HH,DALY,1.6565453418401917e-07,1.4638217165506333
Copper concentrate CA (gold),market for zinc,GLO,Total HH,DALY,1.49348651643687e-07,1.319733267130064
Copper concentrate CA (gold),"market for carboxymethyl cellulose, powder",GLO,Total HH,DALY,1.4816835486502254e-07,1.3093034647398407
Copper concentrate CA (gold),market for ammonium nitrate,RNA,Total HH,DALY,1.3252874717158377e-07,1.1711026150452803
Copper concentrate CA (gold),"market for soda ash, dense",GLO,Total HH,DALY,1.208380547601578e-07,1.0677967229509007
Copper concentrate CA (gold),"market for lime, hydrated, loose weight",RoW,Total HH,DALY,1.0399912114153525e-07,0.9189979180409644
Copper concentrate CA (gold),market for zinc monosulfate,RoW,Total HH,DALY,7.036104638119091e-08,0.621751938148577
Copper concentrate CA (gold),"market for sulfur dioxide, liquid",RoW,Total HH,DALY,6.500107863332823e-08,0.5743880840411094
Copper concentrate CA (gold),market for waste mineral oil,RoW,Total HH,DALY,2.4540541020396074e-08,0.21685477586536797
Copper concentrate CA (gold),"market for transport, passenger car, large size, petrol, EURO 3",GLO,Total HH,DALY,2.4050017355773838e-08,0.21252021782689987
Copper concentrate CA (gold),"market for borax, anhydrous, powder",GLO,Total HH,DALY,2.1279339187984378e-08,0.18803686220031907
Copper concentrate CA (gold),"market for chemical, inorganic",GLO,Total HH,DALY,1.6036447614521032e-08,0.1417075626096994
Copper concentrate CA (gold),market for sodium nitrate,GLO,Total HH,DALY,1.4923266666098497e-08,0.13187083550302575
Copper concentrate CA (gold),market for manganese dioxide,GLO,Total HH,DALY,1.3730219223558258e-08,0.1213283606841622
Copper concentrate CA (gold),market for soap,GLO,Total HH,DALY,1.2723954797816892e-08,0.11243641138589382
Copper concentrate CA (gold),"market for aluminium sulfate, powder",RoW,Total HH,DALY,1.1322177889862249e-08,0.10004947920965908
Copper concentrate CA (gold),"market for carbon dioxide, liquid",RoW,Total HH,DALY,1.0274360344688979e-08,0.09079034190223381
Copper concentrate CA (gold),market for fatty alcohol,GLO,Total HH,DALY,9.281711144106245e-09,0.082018704808887
Copper concentrate CA (gold),market for iron sulfate,RoW,Total HH,DALY,9.269126893353085e-09,0.08190750290530051
Copper concentrate CA (gold),"market for phosphoric acid, industrial grade, without water, in 85% solution state",GLO,Total HH,DALY,4.525795882301084e-09,0.03999261674195017
Copper concentrate CA (gold),market for polyacrylamide,GLO,Total HH,DALY,4.462385132587084e-09,0.039432281747491166
Copper concentrate CA (gold),"market for polycarboxylates, 40% active substance",RoW,Total HH,DALY,4.2904369786245985e-09,0.03791284587372588
Copper concentrate CA (gold),"treatment of municipal solid waste, sanitary landfill",RoW,Total HH,DALY,2.9850223449659083e-09,0.026377427907261747
Copper concentrate CA (gold),"market for diesel, low-sulfur",RoW,Total HH,DALY,2.920856112861281e-09,0.025810417022309816
Copper concentrate CA (gold),"market for waste wood, untreated",RoW,Total HH,DALY,1.974716038336413e-09,0.01744976215215808
Copper concentrate CA (gold),market for synthetic rubber,GLO,Total HH,DALY,2.61197504350175e-10,0.0023080960690872536
Copper concentrate CA (gold),market for lubricating oil,RoW,Total HH,DALY,2.441158414900892e-10,0.0021571523646329374
Copper concentrate CA (gold),"market for waste plastic, mixture",RoW,Total HH,DALY,2.23607689456385e-10,0.001975930169531958
Copper concentrate CA (gold),market for silica sand,GLO,Total HH,DALY,1.904417183477841e-10,0.0016828559775190206
Copper concentrate CA (gold),market for scrap aluminium,RoW,Total HH,DALY,6.041968367908834e-11,0.0005339041609227598
Copper concentrate CA (gold),"electronics scrap, Recycled Content cut-off",GLO,Total HH,DALY,0.0,0.0
Copper concentrate CA (gold),"iron scrap, sorted, pressed, Recycled Content cut-off",GLO,Total HH,DALY,0.0,0.0
Copper concentrate CA (gold),"market for sulfidic tailings, generic",GLO,Total HH,DALY,-1.6194637697902738e-21,-1.4310542401166903e-14
Gold mining and beneficiation,"market for cement, Portland",CA-QC,Total EQ,PDF.m2.yr,569.4539314342275,17.73697092760819
Gold mining and beneficiation,"market for electricity, high voltage",CA-QC,Total EQ,PDF.m2.yr,427.9096705459431,13.328244774779332
Gold mining and beneficiation,"market for diesel, burned in building machine",GLO,Total EQ,PDF.m2.yr,379.38424967473685,11.81680735775283
Gold mining and beneficiation,market for chromium,GLO,Total EQ,PDF.m2.yr,361.643790809289,11.26423938733533
Gold mining and beneficiation,"market for heat, district or industrial, natural gas",CA-QC,Total EQ,PDF.m2.yr,197.32615415337955,6.146183328052896
Gold mining and beneficiation,market for copper sulfate,GLO,Total EQ,PDF.m2.yr,193.0850294835558,6.014083607923534
Gold mining and beneficiation,"market for hydrogen peroxide, without water, in 50% solution state",RoW,Total EQ,PDF.m2.yr,162.67057801533653,5.06675457621017
Gold mining and beneficiation,"market for steel, unalloyed",GLO,Total EQ,PDF.m2.yr,142.2391226976379,4.430369244624127
Gold mining and beneficiation,market for sodium cyanide,RoW,Total EQ,PDF.m2.yr,138.53422780284626,4.314971651576948
Gold mining and beneficiation,"market for mine infrastructure, underground, non-ferrous metal",GLO,Total EQ,PDF.m2.yr,94.4885014815851,2.9430647700528016
Gold mining and beneficiation,"market for quicklime, milled, loose",RoW,Total EQ,PDF.m2.yr,94.13311906588993,2.9319955557978528
Gold mining and beneficiation,"market for sulfidic tailings, generic",GLO,Total EQ,PDF.m2.yr,51.74585258473826,1.611745274298471
Gold mining and beneficiation,"market for sodium silicate, spray powder, 80%",RoW,Total EQ,PDF.m2.yr,51.2076305501596,1.5949810936458304
Gold mining and beneficiation,"market for carboxymethyl cellulose, powder",GLO,Total EQ,PDF.m2.yr,49.10924259007035,1.529621906206021
