main_id,facility_group_id,company_id,year,flow_type,subflow_type_agg,value_normalized_sum,ore_type,mining_method,mining_submethod,facility_name,facility_group_name,company_name,city,province,geometry,status,activity_status,development_stage,facility_type,mining_processing_type,commodity_group,commodities,owner(s),operator(s),operation_periods,company_URL,facility_URL,MDO_URL,source_id
BC-MAIN-aa76f6f2,nan,CMP-d94be190,2023,Energy,Explosives,0.6820228384991843,Sulfide,"Open-pit, underground, concentrator",Underground – Caving – Block Caving,New Afton,,New Gold Inc,Kamloops,British Columbia,POINT (-120.514 50.661),active_facility,,,mining,"Underground, concentrator",Base metals and precious metals,"Gold, copper, silver",New Gold Inc (100%),,2012–open,https://newgold.com/home/default.aspx,https://newgold.com/assets/#new-afton-mine,https://miningdataonline.com/property/11/new-afton-mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
BC-MAIN-aa76f6f2,nan,CMP-d94be190,2023,Energy,Gasoline,1.3324989494290376,Sulfide,"Open-pit, underground, concentrator",Underground – Caving – Block Caving,New Afton,,New Gold Inc,Kamloops,British Columbia,POINT (-120.514 50.661),active_facility,,,mining,"Underground, concentrator",Base metals and precious metals,"Gold, copper, silver",New Gold Inc (100%),,2012–open,https://newgold.com/home/default.aspx,https://newgold.com/assets/#new-afton-mine,https://miningdataonline.com/property/11/new-afton-mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
BC-MAIN-aa76f6f2,nan,CMP-d94be190,2023,Energy,LPG-Propane,0.25629766721044045,Sulfide,"Open-pit, underground, concentrator",Underground – Caving – Block Caving,New Afton,,New Gold Inc,Kamloops,British Columbia,POINT (-120.514 50.661),active_facility,,,mining,"Underground, concentrator",Base metals and precious metals,"Gold, copper, silver",New Gold Inc (100%),,2012–open,https://newgold.com/home/default.aspx,https://newgold.com/assets/#new-afton-mine,https://miningdataonline.com/property/11/new-afton-mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
BC-MAIN-aa76f6f2,nan,CMP-d94be190,2023,Energy,Natural gas,19.314192495921695,Sulfide,"Open-pit, underground, concentrator",Underground – Caving – Block Caving,New Afton,,New Gold Inc,Kamloops,British Columbia,POINT (-120.514 50.661),active_facility,,,mining,"Underground, concentrator",Base metals and precious metals,"Gold, copper, silver",New Gold Inc (100%),,2012–open,https://newgold.com/home/default.aspx,https://newgold.com/assets/#new-afton-mine,https://miningdataonline.com/property/11/new-afton-mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
NU-MAIN-8b0264c9,nan,CMP-6265c407,2023,Energy,Diesel,44.84179380338546,Sulfide,"Underground, concentrator","Surface – Truck & Shovel, Underground – Stoping – Long-Hole Stoping",Meliadine,,Agnico Eagle Mines Limited,Rankin Inlet,Nunavut,POINT (-92.220206 63.031529),active_facility,,,mining,"Open-pit, underground, concentrator",Precious metals,Gold,Agnico Eagle Mines Limited (100%),Agnico Eagle Mines Limited,2019–open,https://agnicoeagle.com/Home/default.aspx,https://www.agnicoeagle.com/English/operations/operations/goldex/default.aspx,https://miningdataonline.com/property/44/Goldex-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
NU-MAIN-8b0264c9,nan,CMP-6265c407,2023,Energy,Electricity,223.1155164839897,Sulfide,"Underground, concentrator","Surface – Truck & Shovel, Underground – Stoping – Long-Hole Stoping",Meliadine,,Agnico Eagle Mines Limited,Rankin Inlet,Nunavut,POINT (-92.220206 63.031529),active_facility,,,mining,"Open-pit, underground, concentrator",Precious metals,Gold,Agnico Eagle Mines Limited (100%),Agnico Eagle Mines Limited,2019–open,https://agnicoeagle.com/Home/default.aspx,https://www.agnicoeagle.com/English/operations/operations/goldex/default.aspx,https://miningdataonline.com/property/44/Goldex-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
NU-MAIN-8b0264c9,nan,CMP-6265c407,2023,Energy,Explosives,3.8265597786566694,Sulfide,"Underground, concentrator","Surface – Truck & Shovel, Underground – Stoping – Long-Hole Stoping",Meliadine,,Agnico Eagle Mines Limited,Rankin Inlet,Nunavut,POINT (-92.220206 63.031529),active_facility,,,mining,"Open-pit, underground, concentrator",Precious metals,Gold,Agnico Eagle Mines Limited (100%),Agnico Eagle Mines Limited,2019–open,https://agnicoeagle.com/Home/default.aspx,https://www.agnicoeagle.com/English/operations/operations/goldex/default.aspx,https://miningdataonline.com/property/44/Goldex-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
NU-MAIN-8b0264c9,nan,CMP-6265c407,2023,Energy,Gasoline,0.4665860434371806,Sulfide,"Underground, concentrator","Surface – Truck & Shovel, Underground – Stoping – Long-Hole Stoping",Meliadine,,Agnico Eagle Mines Limited,Rankin Inlet,Nunavut,POINT (-92.220206 63.031529),active_facility,,,mining,"Open-pit, underground, concentrator",Precious metals,Gold,Agnico Eagle Mines Limited (100%),Agnico Eagle Mines Limited,2019–open,https://agnicoeagle.com/Home/default.aspx,https://www.agnicoeagle.com/English/operations/operations/goldex/default.aspx,https://miningdataonline.com/property/44/Goldex-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
NU-MAIN-8b0264c9,nan,CMP-6265c407,2023,Energy,Natural gas,29.870512895146124,Sulfide,"Underground, concentrator","Surface – Truck & Shovel, Underground – Stoping – Long-Hole Stoping",Meliadine,,Agnico Eagle Mines Limited,Rankin Inlet,Nunavut,POINT (-92.220206 63.031529),active_facility,,,mining,"Open-pit, underground, concentrator",Precious metals,Gold,Agnico Eagle Mines Limited (100%),Agnico Eagle Mines Limited,2019–open,https://agnicoeagle.com/Home/default.aspx,https://www.agnicoeagle.com/English/operations/operations/goldex/default.aspx,https://miningdataonline.com/property/44/Goldex-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
ON-MAIN-0aadf28f,nan,CMP-d94be190,2023,Energy,Diesel,186.64948897717937,Sulfide,"Underground, concentrator","Surface – Truck & Shovel, Underground – Stoping – Long-Hole Stoping",Rainy River,,New Gold Inc,Fort Frances,Ontario,POINT (-94.012 48.833),active_facility,,,mining,"Open-pit, underground, concentrator",Precious metals,"Gold, silver",New Gold Inc (100%),,2017–open,https://newgold.com/home/default.aspx,https://newgold.com/assets/#rainy-river-mine,https://miningdataonline.com/property/69/Rainy-River-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
ON-MAIN-0aadf28f,nan,CMP-d94be190,2023,Energy,Electricity,333.09242355089003,Sulfide,"Underground, concentrator","Surface – Truck & Shovel, Underground – Stoping – Long-Hole Stoping",Rainy River,,New Gold Inc,Fort Frances,Ontario,POINT (-94.012 48.833),active_facility,,,mining,"Open-pit, underground, concentrator",Precious metals,"Gold, silver",New Gold Inc (100%),,2017–open,https://newgold.com/home/default.aspx,https://newgold.com/assets/#rainy-river-mine,https://miningdataonline.com/property/69/Rainy-River-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
ON-MAIN-0aadf28f,nan,CMP-d94be190,2023,Energy,Explosives,6.757474669100867,Sulfide,"Underground, concentrator","Surface – Truck & Shovel, Underground – Stoping – Long-Hole Stoping",Rainy River,,New Gold Inc,Fort Frances,Ontario,POINT (-94.012 48.833),active_facility,,,mining,"Open-pit, underground, concentrator",Precious metals,"Gold, silver",New Gold Inc (100%),,2017–open,https://newgold.com/home/default.aspx,https://newgold.com/assets/#rainy-river-mine,https://miningdataonline.com/property/69/Rainy-River-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
ON-MAIN-0aadf28f,nan,CMP-d94be190,2023,Energy,Gasoline,4.476711709265177,Sulfide,"Underground, concentrator","Surface – Truck & Shovel, Underground – Stoping – Long-Hole Stoping",Rainy River,,New Gold Inc,Fort Frances,Ontario,POINT (-94.012 48.833),active_facility,,,mining,"Open-pit, underground, concentrator",Precious metals,"Gold, silver",New Gold Inc (100%),,2017–open,https://newgold.com/home/default.aspx,https://newgold.com/assets/#rainy-river-mine,https://miningdataonline.com/property/69/Rainy-River-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
ON-MAIN-0aadf28f,nan,CMP-d94be190,2023,Energy,LPG-Propane,10.656406564240074,Sulfide,"Underground, concentrator","Surface – Truck & Shovel, Underground – Stoping – Long-Hole Stoping",Rainy River,,New Gold Inc,Fort Frances,Ontario,POINT (-94.012 48.833),active_facility,,,mining,"Open-pit, underground, concentrator",Precious metals,"Gold, silver",New Gold Inc (100%),,2017–open,https://newgold.com/home/default.aspx,https://newgold.com/assets/#rainy-river-mine,https://miningdataonline.com/property/69/Rainy-River-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
ON-MAIN-538513cd,nan,CMP-4a434d72,2023,Energy,Aviation fuel,13.04160077062011,,"Underground, concentrator",Underground – Stoping – Long-Hole Stoping,,,,,,,,,,,,,,,,,,,,
ON-MAIN-538513cd,nan,CMP-4a434d72,2023,Energy,Diesel,231.98542889825404,,"Underground, concentrator",Underground – Stoping – Long-Hole Stoping,,,,,,,,,,,,,,,,,,,,
ON-MAIN-538513cd,nan,CMP-4a434d72,2023,Energy,Electricity,539.2902210957255,,"Underground, concentrator",Underground – Stoping – Long-Hole Stoping,,,,,,,,,,,,,,,,,,,,
ON-MAIN-538513cd,nan,CMP-4a434d72,2023,Energy,Gasoline,6.031377423239012,,"Underground, concentrator",Underground – Stoping – Long-Hole Stoping,,,,,,,,,,,,,,,,,,,,
ON-MAIN-538513cd,nan,CMP-4a434d72,2023,Energy,LPG-Propane,85.72737757375076,,"Underground, concentrator",Underground – Stoping – Long-Hole Stoping,,,,,,,,,,,,,,,,,,,,
ON-MAIN-687b8c8d,nan,CMP-3a4ccc7f,2023,Energy,Diesel,48.6788436741999,,"Underground, concentrator",Underground – Stoping – Long-Hole Stoping,Island,,Alamos Gold Inc,Dubreuilville,Ontario,POINT (-84.449604 48.285667),active_facility,,,mining,"Underground, concentrator",Precious metals,Gold,Alamos Gold Inc (100%),Alamos Gold Inc,2007–open,https://alamosgold.com,https://www.alamosgold.com/operations/producing-mines/young-davidson-canada/default.aspx,https://miningdataonline.com/property/1484/young-davidson-mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
ON-MAIN-687b8c8d,nan,CMP-3a4ccc7f,2023,Energy,Electricity,333.9844693293751,,"Underground, concentrator",Underground – Stoping – Long-Hole Stoping,Island,,Alamos Gold Inc,Dubreuilville,Ontario,POINT (-84.449604 48.285667),active_facility,,,mining,"Underground, concentrator",Precious metals,Gold,Alamos Gold Inc (100%),Alamos Gold Inc,2007–open,https://alamosgold.com,https://www.alamosgold.com/operations/producing-mines/young-davidson-canada/default.aspx,https://miningdataonline.com/property/1484/young-davidson-mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
ON-MAIN-687b8c8d,nan,CMP-3a4ccc7f,2023,Energy,Gasoline,0.7380004565596044,,"Underground, concentrator",Underground – Stoping – Long-Hole Stoping,Island,,Alamos Gold Inc,Dubreuilville,Ontario,POINT (-84.449604 48.285667),active_facility,,,mining,"Underground, concentrator",Precious metals,Gold,Alamos Gold Inc (100%),Alamos Gold Inc,2007–open,https://alamosgold.com,https://www.alamosgold.com/operations/producing-mines/young-davidson-canada/default.aspx,https://miningdataonline.com/property/1484/young-davidson-mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
ON-MAIN-687b8c8d,nan,CMP-3a4ccc7f,2023,Energy,Naphtha,2.2042725501008147,,"Underground, concentrator",Underground – Stoping – Long-Hole Stoping,Island,,Alamos Gold Inc,Dubreuilville,Ontario,POINT (-84.449604 48.285667),active_facility,,,mining,"Underground, concentrator",Precious metals,Gold,Alamos Gold Inc (100%),Alamos Gold Inc,2007–open,https://alamosgold.com,https://www.alamosgold.com/operations/producing-mines/young-davidson-canada/default.aspx,https://miningdataonline.com/property/1484/young-davidson-mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
ON-MAIN-687b8c8d,nan,CMP-3a4ccc7f,2023,Energy,Natural gas,77.00082729712197,,"Underground, concentrator",Underground – Stoping – Long-Hole Stoping,Island,,Alamos Gold Inc,Dubreuilville,Ontario,POINT (-84.449604 48.285667),active_facility,,,mining,"Underground, concentrator",Precious metals,Gold,Alamos Gold Inc (100%),Alamos Gold Inc,2007–open,https://alamosgold.com,https://www.alamosgold.com/operations/producing-mines/young-davidson-canada/default.aspx,https://miningdataonline.com/property/1484/young-davidson-mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
ON-MAIN-6e9be24e,nan,CMP-79bcdb91,2023,Energy,Diesel,237.75502385844018,Sulfide,"Open-pit, underground, concentrator",Underground – Stoping – Long-Hole Stoping,Hemlo (Williams),,Baffinland Iron Mines Corporation,Marathon,Ontario,POINT (-85.91598 48.695726),active_facility,,,mining,"Open-pit, underground, concentrator",Precious metals,Gold,Barrick Gold Corporation (100%),Barrick Gold Corporation,1985–open,https://www.barrick.com/English/home/default.aspx,https://www.barrick.com/English/operations/hemlo/default.aspx,"https://miningdataonline.com/property/49/Hemlo-Williams,-David-Bell-Mine.aspx",https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
