main_id,facility_group_id,substance_name,unit,value,site_id,activity_name,metal,mass_t,allocation_factor,value_normalized,Reference product,normalization_key
QC-MAIN-e7e6a960,,Arsenic (and its compounds),kg,4.54,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Ag,9.642085,0.3116705541703531,0.14675086518459474,Ag,metal_mass
QC-MAIN-e7e6a960,,Cadmium (and its compounds),kg,0.156,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Au,21.29470024,0.688329445829647,0.005042540742025722,Au,metal_mass
QC-MAIN-e7e6a960,,Cadmium (and its compounds),kg,0.156,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Ag,9.642085,0.3116705541703531,0.005042540742025722,Ag,metal_mass
QC-MAIN-e7e6a960,,Carbon monoxide,tonnes,619.2,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Au,21.29470024,0.688329445829647,20.015007868348253,Au,metal_mass
QC-MAIN-e7e6a960,,Carbon monoxide,tonnes,619.2,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Ag,9.642085,0.3116705541703531,20.015007868348253,Ag,metal_mass
QC-MAIN-e7e6a960,,Chromium (and its compounds),tonnes,1.1211,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Au,21.29470024,0.688329445829647,0.03623841298644254,Au,metal_mass
QC-MAIN-e7e6a960,,Chromium (and its compounds),tonnes,1.1211,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Ag,9.642085,0.3116705541703531,0.03623841298644255,Ag,metal_mass
QC-MAIN-e7e6a960,,Cobalt (and its compounds),kg,63.845,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Au,21.29470024,0.688329445829647,2.0637244466322575,Au,metal_mass
QC-MAIN-e7e6a960,,Cobalt (and its compounds),kg,63.845,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Ag,9.642085,0.3116705541703531,2.063724446632258,Ag,metal_mass
QC-MAIN-e7e6a960,,Copper (and its compounds),tonnes,0.146,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Au,21.29470024,0.688329445829647,0.004719300950870226,Au,metal_mass
QC-MAIN-e7e6a960,,Copper (and its compounds),tonnes,0.146,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Ag,9.642085,0.3116705541703531,0.004719300950870227,Ag,metal_mass
QC-MAIN-e7e6a960,,Ethylene glycol,tonnes,19.05,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Au,21.29470024,0.688329445829647,0.615771802151218,Au,metal_mass
