activity_name,functional_unit,site_id,subflow_type,value_normalized,unit,province
"Au and Ag, Underground mining and beneficiation at Éléonore",Ore processed,QC-MAIN-6dc537e6,Electricity consumption|Grid electricity,0.0005371643289825408,MJ,Quebec
"Cu and Mo, Open-pit mining and beneficiation at Gibraltar",Ore processed,BC-MAIN-6b4800fe,Electricity consumption|Grid electricity,5.652216666666666e-05,MJ,British Columbia
"Au and Ag and Zn, Underground mining and beneficiation at Goldex",Ore processed,QC-MAIN-c0660aec,Electricity consumption|Grid electricity,0.00022311551648398969,MJ,Quebec
"Au, Underground mining and beneficiation at Island",Ore processed,ON-MAIN-687b8c8d,Electricity consumption|Grid electricity,0.000761213918652963,MJ,Ontario
"Au and Ag, Open-pit mining and beneficiation at Kiena",Ore processed,QC-MAIN-9de9bb0d,Electricity consumption|Grid electricity,0.0006036819637139807,MJ,Quebec
"Au and Ag, Underground mining and beneficiation at Lamaque",Ore processed,QC-MAIN-f9e41c2a,Electricity consumption|Grid electricity,0.0003300414232024799,MJ,Quebec
"Au and Ag and Cu and Zn, Underground mining and beneficiation at LaRonde",Ore processed,QC-MAIN-e51eda66,Electricity consumption|Grid electricity,0.0006354181435366932,MJ,Quebec
"Au, Underground mining and beneficiation at Macassa",Ore processed,ON-MAIN-1f126a43,Electricity consumption|Grid electricity,0.0014882578602679422,MJ,Ontario
"Au, Underground mining and beneficiation at Musselwhite",Ore processed,ON-MAIN-fefeaee4,Electricity consumption|Grid electricity,0.0004960015564202335,MJ,Ontario
"Au and Cu, Underground mining and beneficiation at New Afton",Ore processed,BC-MAIN-aa76f6f2,Electricity consumption|Grid electricity,5.611250358890702e-05,MJ,British Columbia
"Au, Open-pit and underground mining at Porcupine complex",Ore processed,GRP-0d911886,Electricity consumption|Grid electricity,0.000248700515286843,MJ,Ontario
"Au and Cu, Open-pit mining and beneficiation at Red Chris",Ore processed,BC-MAIN-8eb8be0d,Electricity consumption|Grid electricity,0.0011190380523266022,MJ,British Columbia
"Au, Underground mining and beneficiation at Red Lake",Ore processed,ON-MAIN-7f050560,Electricity consumption|Grid electricity,0.0010628717237700354,MJ,Ontario
"Fe, Open-pit mining and beneficiation at Scully",Ore processed,NL-MAIN-b64bae7a,Electricity consumption|Grid electricity,0.00034634831460674155,MJ,Newfoundland and Labrador
"Au, Underground mining and beneficiation at Seabee Gold Operation",Ore processed,GRP-14bfbb82,Electricity consumption|Grid electricity,0.001583811855737705,MJ,Saskatchewan
"Au and Ag, Underground mining and beneficiation at Timmins Operation",Ore processed,GRP-147b3123,Electricity consumption|Grid electricity,0.00046901321473951713,MJ,Ontario
"Au and Ag, Underground mining and beneficiation at Westwood-Doyon",Ore processed,QC-MAIN-02884fb5,Electricity consumption|Grid electricity,0.0005086525145067697,MJ,Quebec
"Au, Underground mining and beneficiation at Young-Davidson",Ore processed,ON-MAIN-7607a50e,Electricity consumption|Grid electricity,0.0003338194268543912,MJ,Ontario
"Au, Open-pit and underground mining and beneficiation at Hemlo (Williams)",Ore processed,ON-MAIN-6e9be24e,Electricity consumption|Non-renewable electricity use,0.0004889380723201809,MJ,Ontario
"Au and Ag, Open-pit and underground mining and beneficiation at Casa Berardi",Ore processed,QC-MAIN-b86f7d07,Electricity consumption|Not specified,0.0003640500416467737,MJ,Quebec
"Ag and Zn and Pb, Underground mining and beneficiation at Keno Hill Silver District",Ore processed,YT-MAIN-44857446,Electricity consumption|Not specified,0.0004975641308019198,MJ,Yukon
"Pt, Open-pit and underground mining and beneficiation at Lac des Iles",Ore processed,ON-MAIN-a3c56a83,Electricity consumption|Not specified,0.00011451990632318499,MJ,Ontario
"Au and Cu, Open-pit mining and beneficiation at Mount Milligan",Ore processed,BC-MAIN-ed23117f,Electricity consumption|Not specified,,MJ,British Columbia
"Au and Ag, Underground mining and beneficiation at Westwood-Doyon",Ore processed,QC-MAIN-02884fb5,Emulsion ANFO,4.120502901353965e-06,MJ,Quebec
"Au and Ag, Underground mining and beneficiation at Timmins Operation",Ore processed,GRP-147b3123,Emulsions,1.2873570520965692e-06,MJ,Ontario
"Fe, Open-pit mining and beneficiation at Carol Lake",Ore processed,NL-MAIN-dd723db4,Energy use,0.0008345637583892617,MJ,Newfoundland and Labrador
"Au and Ag, Open-pit mining and beneficiation at Detour Lake",Ore processed,ON-MAIN-aeafbb59,Explosives,2.5584578261407225e-06,MJ,Ontario
