env_id,year,compartment_name,substance_id,flow_direction,release_pathway,unit,value,comment,main_id,facility_group_id,company_id,source_id
GHG-10669-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,195810.0,,QC-MAIN-e7e6a960,,CMP-6265c407,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10679-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,129509.99999999999,,BC-MAIN-6b4800fe,,CMP-e35f138c,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10722-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,119160.0,,QC-MAIN-089f3c60,,CMP-c08ac7d7,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10765-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,294610.0,,ON-MAIN-aeafbb59,,CMP-6265c407,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10785-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,34050.0,,BC-MAIN-23155c25,,CMP-05423572,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10835-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,90110.0,,NU-MAIN-5154702a,,CMP-336d5ebc,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10857-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,19250.0,,ON-MAIN-6e9be24e,,CMP-84fc7d46,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10863-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,138130.0,,NU-MAIN-8b0264c9,,CMP-6265c407,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10873-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,27340.0,,BC-MAIN-857b7b89,,CMP-4a434d72,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10904-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,33410.0,,QC-MAIN-b86f7d07,,CMP-7e360a1f,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10907-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,12480.0,,QC-MAIN-a555d9b9,,CMP-f0009ac4,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10908-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,23630.0,,SK-MAIN-60ba74c4,,CMP-43299e17,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10911-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,16420.0,,QC-MAIN-02884fb5,,CMP-3d0a95b7,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10917-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,20110.0,,ON-MAIN-687b8c8d,,CMP-3a4ccc7f,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10923-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,20010.0,,SK-MAIN-91cf5448,,CMP-cadb529a,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10924-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,53780.0,,ON-MAIN-3b3e5365,,CMP-4a434d72,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10926-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,56110.0,,ON-MAIN-a3c56a83,,CMP-967076a1,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-11375-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,21630.0,,ON-MAIN-7607a50e,,CMP-3a4ccc7f,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-11382-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,134260.0,,QC-MAIN-5ce331b8,,CMP-d87d1101,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-11472-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,134750.0,,NT-MAIN-94e652a5,,CMP-d899f7d7,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-11496-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,124990.0,,ON-MAIN-0aadf28f,,CMP-d94be190,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-11519-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,57680.0,,QC-MAIN-3032c251,,CMP-4566abf1,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-11736-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,27250.0,,QC-MAIN-dc1a16f9,,CMP-9f967ad1,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-11770-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,14210.0,,QC-MAIN-c0660aec,,CMP-6265c407,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-11794-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,45470.0,,QC-MAIN-e51eda66,,CMP-6265c407,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-11804-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,37250.0,,QC-MAIN-6dc537e6,,CMP-4a434d72,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-11894-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,70400.0,,BC-MAIN-599152a0,,CMP-12afc634,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-11951-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,26800.0,,ON-MAIN-7f050560,,CMP-ca642bce,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-12304-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,12400.0,,ON-MAIN-cb85213a,,CMP-3d2c4955,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-12459-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,53740.0,,YT-MAIN-e05ed9fe,,CMP-661b40f2,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-12553-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,95700.0,,BC-MAIN-8eb8be0d,,CMP-4a434d72,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10011-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,4292170.0,,ON-MAIN-eab8c362,,CMP-0f9c0b53,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10013-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,537950.0,,QC-MAIN-52c01ae4,,CMP-140e111b,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10014-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,819810.0,,QC-MAIN-c8966bdc,,CMP-dc21de8a,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10091-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,4168279.9999999995,,ON-MAIN-4c35e094,,CMP-3775c12e,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10103-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,115960.0,,QC-MAIN-5398dfac,,CMP-89ae3b2b,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10119-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,305170.0,,AB-MAIN-d3a4aba9,,CMP-2ef1f553,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10128-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,97160.0,,ON-MAIN-21b6ab35,,CMP-a70130b4,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10150-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,213770.0,,SK-MAIN-26b9aaf3,,CMP-28720916,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10275-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,254750.0,,ON-MAIN-020a683c,,CMP-75ff8886,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10276-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,3781720.0,,ON-MAIN-b2e5c9bb,,CMP-75ff8886,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10289-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,372860.0,,BC-MAIN-3bb6b7cd,,CMP-06e20c6e,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10300-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,517539.99999999994,,QC-MAIN-eac5a52b,,CMP-140e111b,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10420-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,80750.0,,AB-MAIN-9fed34a8,,CMP-c6e8351c,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10614-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,106690.0,,ON-MAIN-fc6f1a44,,CMP-a27e87a3,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10657-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,184550.0,,QC-MAIN-c1cc9f7c,,CMP-ef8ffade,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10678-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,45260.0,,MB-MAIN-b4ca1426,,CMP-a70130b4,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10738-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,14780.0,,ON-MAIN-bddeaef0,,CMP-a70130b4,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-10810-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,41040.0,,NL-MAIN-d9036091,,CMP-9617aef4,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-11368-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,18900.0,,ON-MAIN-387b06fe,,CMP-a72e0313,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-11723-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,13660.0,,ON-MAIN-2e13aaa0,,CMP-9617aef4,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
GHG-11765-2023-1,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,15600.0,,ON-MAIN-4c35e094,,CMP-3775c12e,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
ENV-ed23117f-2023-2,2023,Air,NA - GHG,Emission,,tCO2eq,72492.0,scope1,BC-MAIN-ed23117f,,CMP-fa032e20,CenterraGoldInc_Data
ENV-f9e41c2a-2023-2,2023,Air,NA - GHG,Emission,,tCO2eq,18188.0,scope1,QC-MAIN-f9e41c2a,,CMP-64d60fd7,EldoradoGold_ESG_2023
ENV-44857446-2023-1,2023,Air,NA - GHG,Emission,,tCO2eq,7271.0,scope1,YT-MAIN-44857446,,CMP-7e360a1f,HeclaMiningCompany_SR_2023
ENV-aa76f6f2-2023-1,2023,Air,NA - GHG,Emission,,tCO2eq,15908.3,scope1,BC-MAIN-aa76f6f2,,CMP-d94be190,NewGoldInc_2023-New-Gold-ESG-Data-Factbook
ENV-9de9bb0d-2023-6,2023,Air,NA - GHG,Emission,,tCO2eq,4109.0,scope1,QC-MAIN-9de9bb0d,,CMP-3d2c4955,WesdomeGoldMinesLtd_2023-ESG-Data-Tables
,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,253810.0,Aggregated value from multiple facilities,,GRP-0a2c0d69,CMP-6265c407,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
,2023,Air,NA - GHG,Emission,,tCO2eq,57797.1544138831,Aggregated value from multiple facilities,,GRP-0d911886,CMP-4a434d72,NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked
,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,1128700.0,Aggregated value from multiple facilities,,GRP-1402249f,CMP-3775c12e,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,37940.0,Aggregated value from multiple facilities,,GRP-147b3123,CMP-48a36546,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
,2023,Air,NA - GHG,Emission,,tCO2eq,35617.369225595,Aggregated value from multiple facilities,,GRP-147b3123,CMP-48a36546,PanAmericanSilverCorp_PAS-2023-Sustainability-Performance-Data-Book
,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,13320.0,Aggregated value from multiple facilities,,GRP-14bfbb82,CMP-4a73c5f8,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
,2023,Air,NA - GHG,Emission,,tCO2eq,14002.0,Aggregated value from multiple facilities,,GRP-14bfbb82,CMP-4a73c5f8,SSRMiningInc_ESG_2023
,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,22360.0,Aggregated value from multiple facilities,,GRP-21eee27d,CMP-cadb529a,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,885630.0,Aggregated value from multiple facilities,,GRP-25483238,CMP-7a096012,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,51600.0,Aggregated value from multiple facilities,,GRP-2a663492,CMP-31bb0d19,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,3716190.0,Aggregated value from multiple facilities,,GRP-677b5973,CMP-7a096012,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,1047500.0,Aggregated value from multiple facilities,,GRP-7a9ba115,CMP-3775c12e,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
,2023,Air,NA - GHG,Emission,,tCO2eq,28000.0,Aggregated value from multiple facilities,,GRP-a13779f8,CMP-12afc634,HudbayMineralsInc_Hudbay-2023-Integrated-Annual-Report-Performance-Data
,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,180700.0,Aggregated value from multiple facilities,,GRP-b48ec279,CMP-d5f1c66b,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,325430.0,Aggregated value from multiple facilities,,GRP-dc07540b,CMP-9617aef4,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
,2023,Air,NA - GHG,Emission,Unspecified,tCO2eq,135330.0,Aggregated value from multiple facilities,,GRP-de097f20,CMP-d5f1c66b,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html
