env_id,year,compartment_name,substance_id,flow_direction,release_pathway,unit,value,comment,main_id,facility_group_id,company_id,source_id,site_id
GHG-10128-2023-2,2023,Air,124-38-9,Emission,Industrial Processes,tonnes,38329.4691,,ON-MAIN-21b6ab35,,CMP-a70130b4,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,ON-MAIN-21b6ab35
GHG-10128-2023-3,2023,Air,124-38-9,Emission,On-site Transportation,tonnes,2504.945801,,ON-MAIN-21b6ab35,,CMP-a70130b4,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,ON-MAIN-21b6ab35
GHG-10150-2023-1,2023,Air,124-38-9,Emission,Stationary Fuel Combustion,tonnes,128041.1552,,SK-MAIN-26b9aaf3,,CMP-28720916,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,SK-MAIN-26b9aaf3
GHG-10150-2023-2,2023,Air,124-38-9,Emission,Industrial Processes,tonnes,77456.3429,,SK-MAIN-26b9aaf3,,CMP-28720916,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,SK-MAIN-26b9aaf3
GHG-10150-2023-3,2023,Air,124-38-9,Emission,On-site Transportation,tonnes,7604.7767,,SK-MAIN-26b9aaf3,,CMP-28720916,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,SK-MAIN-26b9aaf3
GHG-10164-2023-1,2023,Air,124-38-9,Emission,Stationary Fuel Combustion,tonnes,20752.326,,ON-MAIN-f8313ebd,,CMP-d5f1c66b,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,ON-MAIN-f8313ebd
GHG-10164-2023-2,2023,Air,124-38-9,Emission,On-site Transportation,tonnes,8266.7293,,ON-MAIN-f8313ebd,,CMP-d5f1c66b,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,ON-MAIN-f8313ebd
GHG-10240-2023-1,2023,Air,124-38-9,Emission,Stationary Fuel Combustion,tonnes,138037.1125,,QC-MAIN-a97821c0,,CMP-d5f1c66b,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,QC-MAIN-a97821c0
GHG-10240-2023-2,2023,Air,124-38-9,Emission,Industrial Processes,tonnes,1553.41073,,QC-MAIN-a97821c0,,CMP-d5f1c66b,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,QC-MAIN-a97821c0
GHG-10240-2023-3,2023,Air,124-38-9,Emission,On-site Transportation,tonnes,17060.32142,,QC-MAIN-a97821c0,,CMP-d5f1c66b,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,QC-MAIN-a97821c0
