Commodity,Climate change EQ marine LT (PDF.m2.yr),Climate change EQ marine ST (PDF.m2.yr),Climate change EQ terrestrial LT (PDF.m2.yr),Climate change EQ terrestrial ST (PDF.m2.yr),Fisheries impact (PDF.m2.yr),Freshwater acidification (PDF.m2.yr),Freshwater ecotoxicity LT (PDF.m2.yr),Freshwater ecotoxicity ST (PDF.m2.yr),Freshwater eutrophication (PDF.m2.yr),Ionizing radiations EQ (PDF.m2.yr),Land occupation biodiversity (PDF.m2.yr),Land transformation biodiversity (PDF.m2.yr),Marine acidification LT (PDF.m2.yr),Marine acidification ST (PDF.m2.yr),Marine ecotoxicity LT (PDF.m2.yr),Marine ecotoxicity ST (PDF.m2.yr),Marine eutrophication (PDF.m2.yr),Photochemical ozone EQ (PDF.m2.yr),Terrestrial acidification (PDF.m2.yr),Terrestrial ecotoxicity LT (PDF.m2.yr),Terrestrial ecotoxicity ST (PDF.m2.yr),Thermally polluted water (PDF.m2.yr),Water availability freshwater (PDF.m2.yr),Water availability terrestrial (PDF.m2.yr)
Gibraltar (Mo),31.295700110824946,9.813108499422437,4.353403142971365,1.3650571011771313,1.7828422978795676e-18,0.02339975029494096,0.6051959782965205,0.13384794214332424,1.0474230608016979e-07,2.9295525331208864e-10,6.078798397095845e-06,6.148294120940205e-06,1.0123790465593248,0.1098903737446153,2.3679446044590913e-06,1.8962905016700877e-06,0.014440622383447073,0.2570959483363578,0.19261397358073667,0.0864308757698931,0.0692146030828413,2.9080481087845864e-08,2.7807827671544384e-09,1.934659921091981e-08
Highland Valley (Mo),19.48831323804274,6.036880944933821,2.7109310158501416,0.8397631802726007,5.728559498010002e-19,0.010215645370658263,0.20801172270080875,0.06262625763773076,4.2243299844752036e-08,1.0459948601891664e-10,3.7510786732273246e-06,3.823576140380488e-06,0.6254865043178338,0.06789607162024837,9.664425931315148e-07,6.936830228615533e-07,0.0055457439190044885,0.11168333094537376,0.08397761509294425,0.03527546872530065,0.02531943021020309,1.8024991174098965e-08,1.1097857785193661e-09,1.221178684487186e-08
Kidd Creek (Zn),0.6467548883831951,0.1895141337408395,0.0899671441772886,0.026362453212441003,1.2222594640269628e-20,0.0025023929160888185,0.005607569134169158,0.0003789889928861076,5.670463719037799e-10,9.907133486859328e-13,1.129396458332527e-08,1.3170375098519185e-08,0.020940494609976632,0.002273086177554875,1.0082545644475628e-08,8.082222641270042e-09,0.001497319151372164,0.027470108617699978,0.02059907786686829,0.0003680240761005774,0.0002950011262034696,5.29874384920061e-11,1.5711143660699952e-11,3.0786160719822234e-11
LaRonde (Zn),1.6658561081780658,0.5378566415597928,0.23172970034889048,0.0748188026798862,1.6222180797806672e-19,0.0015707413980563876,0.023578976518713005,0.007737072345674122,5.13091036126737e-09,1.1130316674518876e-10,3.1174247751812523e-07,-3.3262222578504585e-07,0.05201546368056402,0.005646336222538998,1.1471816284929614e-07,1.3675678543811408e-07,0.008224911171896533,0.009907834165641527,0.01267968640934427,0.004187378773730319,0.004991622654192717,1.304599962994911e-09,2.1121349905696407e-10,1.00627441263255e-09
Snow Lake (Zn),2.7835863628265587,0.8673767506647455,0.387212096417729,0.12065685262641515,8.326930431938239e-20,0.00036276024847973126,0.03331842904567168,0.006094316017661986,3.877086600435117e-09,6.632343036592046e-11,1.7961181786023663e-07,-1.053904290039461e-07,0.08470182968630657,0.009194588685801364,1.60060803738564e-07,1.5324846322944953e-07,0.00032557388693898825,1.7226921544182423e-05,0.004689434471957932,0.00584231167438284,0.005593568863567987,7.868198880556018e-10,1.029095229886647e-10,6.085999567816855e-10
Key Lake + McArthur River,125.74867555649952,38.52821186516384,17.49232890235414,5.359485139216288,2.5672768324606614e-19,0.05334695431268953,0.3703622749772065,0.4999370729845845,5.9394963259339e-08,1.7445273227537572e-10,9.932641037928329e-06,9.484800693225189e-06,4.010804155239689,0.4353802728202211,5.304685604189798e-06,3.0167169313890947e-06,0.07087705077625127,0.4568176657461971,0.49466565186582906,0.19362235488294613,0.11011016681608347,4.849042801066696e-08,1.3438278675019713e-09,3.3080804046795355e-08
Cigar Lake + McClean Lake,68.90112690034069,21.19087822194035,9.584523796221964,2.9477671410832564,1.4107310950318604e-19,0.02201221082337237,0.20219586093668473,0.2633260420276517,3.2858259868983914e-08,9.601200076325377e-11,5.473972771135907e-06,5.217519577585615e-06,2.181624538491388,0.23682086240672923,2.9080021960208987e-06,1.6514884898353497e-06,0.014256404260764993,0.15012577591346826,0.22059129191688787,0.10614270498856346,0.06027932924643069,2.6596422494067966e-08,7.36515471590599e-10,1.8282423826686515e-08
Market for Doré,76955.10569256659,24362.927556673483,10704.876317740125,3389.016564714346,8.280040355038912e-15,255.0387068245374,1320.3228843732786,292.63201976954275,0.0003302413063594598,3.4750459638990915e-05,0.016451922007886054,0.011924022649481003,2436.1075644980738,264.43768974890077,0.005739856328723533,0.05567187306109497,112.75183437176563,2518.388975303464,2056.3857998257204,209.50939296280336,2032.0233840076971,6.974172294131678e-05,1.3488962567608604e-05,5.04794967981235e-05
Market for Cu concentrate,6.371656641155399,1.9840155952910683,0.8863323061519754,0.2759874280644992,2.617458634094692e-19,0.009749836898604959,0.09189464495655474,0.023509720502885252,1.672239587599129e-08,5.402089033996685e-11,1.2549201401201764e-06,1.2287071404370494e-06,0.20422593390823562,0.022168507224673926,3.9241681226094554e-07,2.3400473215273022e-06,0.0046336844523327345,0.1063723570642835,0.08043721840082667,0.014323403033027945,0.08541172793816504,5.965496504850631e-09,4.377196674461932e-10,4.055424417836551e-09
Market for Ni concentrate,4.561724235554126,1.4197950858748205,0.6345608040010993,0.19750126712968738,6.419124821645892e-20,0.033313391649764774,0.09366313774931384,0.027459771200038566,1.3959330322781147e-08,6.92369342451445e-11,6.853628587736869e-07,3.8802270300897793e-07,0.14692921920406726,0.015949036897751262,3.6886871945876237e-07,3.738279034544514e-07,0.011332439882157944,0.35703016525697107,0.2779694163498126,0.013463805183029273,0.013644718499682053,3.380965250229079e-09,1.5664068457392758e-10,2.218077704096944e-09
Market for U concentrate,93.26436433413488,28.621164774386813,12.973583446729748,3.9813606669726704,1.9063936009000736e-19,0.035441387393930164,0.2742671879816362,0.36473077843571666,4.423113384279659e-08,1.2962946032093188e-10,7.384830781881e-06,7.046354515093307e-06,2.9655587327601145,0.321917760487114,3.935152324962322e-06,2.236586448389003e-06,0.038522396290479745,0.2815651630501817,0.3380517396360029,0.1436339870504688,0.08163540449918506,3.597956860131583e-08,9.967922372308258e-10,2.4624587386024146e-08
Market for Mo concentrate,23.942725425532192,7.461486932921069,3.3305641268414923,1.037933670365122,1.0293310355935514e-18,0.015189433245030361,0.3578520224950654,0.08949509346850675,6.582144953025118e-08,1.7565790347017184e-10,4.629225821175935e-06,4.700590861474337e-06,0.7714441894498346,0.08373869058440671,1.4951681873135157e-06,1.147374383031952e-06,0.00890139368852157,0.16654117054189346,0.12496137589170174,0.05457417309152105,0.04187916481723581,2.2195745426589708e-08,1.7401800758886783e-09,1.490344042590551e-08
Market for Zn concentrate,1.6312503841133212,0.5044237224209006,0.22691585537877135,0.07016810028391733,5.597615911425006e-20,0.001473657966191727,0.0188650938799716,0.003467801020977446,2.3785897536390646e-09,3.8806394516001094e-11,1.1009793666830717e-07,-6.932817875869488e-08,0.050352656976602544,0.005465870531175535,8.285533873072888e-08,8.111192065028576e-08,0.0016093994440229042,0.013821219159178073,0.012824455397801032,0.0030242794970891337,0.002960585083648226,4.782363378750788e-10,7.046740964463153e-11,3.648636049649296e-10
