Commodity,Climate change EQ marine LT (PDF.m2.yr),Climate change EQ marine ST (PDF.m2.yr),Climate change EQ terrestrial LT (PDF.m2.yr),Climate change EQ terrestrial ST (PDF.m2.yr),Fisheries impact (PDF.m2.yr),Freshwater acidification (PDF.m2.yr),Freshwater ecotoxicity LT (PDF.m2.yr),Freshwater ecotoxicity ST (PDF.m2.yr),Freshwater eutrophication (PDF.m2.yr),Ionizing radiations EQ (PDF.m2.yr),Land occupation biodiversity (PDF.m2.yr),Land transformation biodiversity (PDF.m2.yr),Marine acidification LT (PDF.m2.yr),Marine acidification ST (PDF.m2.yr),Marine ecotoxicity LT (PDF.m2.yr),Marine ecotoxicity ST (PDF.m2.yr),Marine eutrophication (PDF.m2.yr),Photochemical ozone EQ (PDF.m2.yr),Terrestrial acidification (PDF.m2.yr),Terrestrial ecotoxicity LT (PDF.m2.yr),Terrestrial ecotoxicity ST (PDF.m2.yr),Thermally polluted water (PDF.m2.yr),Water availability freshwater (PDF.m2.yr),Water availability terrestrial (PDF.m2.yr)
Éléonore,57904.910553958354,18724.08571570928,8054.889920637686,2604.6228057535313,4.38228465352384e-15,151.17040064705014,858.567725328518,382.5782661382472,1.2013168598412236,1.925416985005627e-06,1490.3926949838822,1793.074818270713,1836.807885261455,199.3848318257902,0.0040931282214994105,0.0031105849070029116,33.28712424623703,1282.279115800706,1169.6200751898734,149.40215688122163,113.53634835173834,10.361666555296543,0.24383969714151021,0.33825558674583045
Goldex (Au),71374.30534723656,23785.623007763556,9928.556435929713,3308.7103505166706,1.2841824469120202e-14,147.2402592185726,1508.8675749930878,607.2373722397565,2.765961976137142,2.593619695188268e-06,2353.2671654356263,3197.9931149816607,2179.329693332,235.06755687527902,0.006780888195687514,0.00575922687578535,25.532311438113673,274.07153132096863,971.0378957763853,247.50522611050158,210.2117794271383,13.528788754080773,0.44472323719570284,0.7601680908617193
Island,40558.26936680732,12718.449843862702,5641.877221330246,1769.2059834021281,2.3084677935379664e-15,536.4217615027492,940.8571170255656,245.31787299599105,0.36308928945273095,6.299325580168674e-05,356.7822743214713,1208.314295400482,1358.8288227981802,145.47508683388398,0.004278705029737076,0.002814008056762068,194.9264520776319,5733.763698807898,4376.921361245526,156.17687663490048,102.71129226466316,3.6622451540391046,0.20231757293381492,0.19953324635450387
LaRonde (Doré),37427.34811811212,11501.761070376155,5206.348946843129,1599.9579182414413,3.522953481906416e-15,108.41443195527194,724.2036515743284,251.41800835058385,0.627816894467512,2.1963935600628335e-06,1754.0379579723226,3293.3365169356493,1152.845165786343,117.48349639959574,0.0028242051627781293,0.0026965424301327633,31.18619151918861,794.6204955752696,816.4748709949297,103.08699391195945,98.4237971523751,12.26300564669565,0.2990781249206691,0.2034841442363268
Macassa,124509.7173156244,43554.46466352941,17319.982962274342,6058.664443718416,4.1140244137028126e-14,309.8572970320773,3076.898070558204,1036.3584811349226,3.7482939337531516,3.107881638569195e-05,1113.5873770710764,5232.024329896147,3590.8217673566187,384.6892058787795,0.012794522309613593,0.012290666322434855,93.9775486980196,1696.569098438775,2341.273838900299,467.00755999172577,448.6093156569459,4.07937711180354,0.3132463474147187,1.8390993259523123
Musselwhite,60310.457778887445,19205.386754506675,8389.514713116747,2671.574412119977,4.185985250165065e-15,324.0972287124514,1092.903170777143,388.0301370991485,0.6814359858078023,7.046157976022263e-05,544.158847231949,2027.8798421939339,1941.5440242628517,210.75043041185515,0.006016390766994963,0.0034662880857715137,91.91920285215394,3262.4200841943434,2603.8078116943066,219.60310244555833,126.51951373403791,4.371202254164519,0.25946641805510495,0.3238013669815755
Red Lake,69425.32759235178,20157.813388312174,9657.443026652814,2804.0621697523757,3.1200725775892345e-15,127.07225015329308,1129.4095183181867,406.7475338085334,1.007920470403477,6.640695791522058e-05,1294.1431180656527,10325.37273076199,2518.4843449853797,255.4781524810472,0.00608053183706647,0.003521252185566216,11.498060227410654,940.7115519071757,950.6884443042023,221.94915943899647,128.52570351560723,4.241909075035144,0.4826550675395609,0.33349822261532114
Seabee Gold Operation,279007.1797414002,84309.1341857336,38811.42551144529,11727.861993705228,3.0842441737026037e-15,329.5899908247226,930.047341946655,1008.6832655920215,0.970221603135532,4.368459520966733e-07,485.30855703854024,2930.2522708745787,8887.432952728797,964.7532399990308,0.010903783644798477,0.006425883995598423,33.37572554288399,1802.9307953621396,2323.681652084614,397.99055116989985,234.5447635097486,2.95164464962442,0.17222990340905042,3.0804966447870132
Snow Lake (Doré),57461.92880739607,18081.206493561138,7993.2687598785105,2515.194771538073,1.784857144801597e-15,59.98291776367807,793.7583745065904,240.70059996769808,0.35807559039350023,1.3105956519636065e-06,1047.081439171544,686.3848304781047,1747.6803013903343,189.7149096899426,0.003947930110703151,0.003429523132635581,43.64443131082689,135.28466517321905,388.45970856475697,144.1019229736953,125.17759331329306,33.26968665090152,0.8820475389838123,0.5819712482188503
Timmins Operation,179542.28168604258,55829.086982070716,24975.313887157048,7766.1315591843395,6.529028847485762e-15,282.05452791330356,36474.611773283425,1808.958204386418,996.5172957357605,0.00013778507976745381,1007.8770431526591,3009.8018695653514,5766.892584173298,625.9919524302269,0.016808783656329564,1.5647663983903743,58.243099632538055,2073.2024965120518,2022.8389664961123,614.0226651557432,57113.97141290725,8.646245907232458,0.6321035742648178,0.6725206249734104
